"Status","Year","Region_ITL1","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Prosecution Service","Legal","240","210","53510","54770"
"In post","2021","East of England","Crown Prosecution Service","Operational Delivery","230","210","27200","25820"
"In post","2021","East of England","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","Other","70","70","30520","28620"
"In post","2021","East of England","Defence Equipment and Support","Project Delivery","40","30","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","Science and Engineering","90","90","35920","33740"
"In post","2021","East of England","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Science and Technology Laboratory","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Operational Delivery","40","40","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","40","40","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","40","40","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Unknown","4570","4090","28120","27570"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Operational Delivery","340","320","28410","26780"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Education and Skills Funding Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Operational Delivery","60","60","27660","26750"
"In post","2021","East of England","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Operational Delivery","130","120","44120","44820"
"In post","2021","East of England","Health and Safety Executive","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Legal","90","80","40750","40910"
"In post","2021","East of England","HM Courts and Tribunals Service","Operational Delivery","960","840","21340","20100"
"In post","2021","East of England","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Operational Delivery","240","220","29040","27130"
"In post","2021","East of England","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Prison and Probation Service","Commercial","60","60","47930","46730"
"In post","2021","East of England","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Prison and Probation Service","Intelligence Analysis","50","50","31480","27970"
"In post","2021","East of England","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Prison and Probation Service","Operational Delivery","5000","4730","29080","28400"
"In post","2021","East of England","HM Prison and Probation Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Prison and Probation Service","Psychology","170","160","35150","30450"
"In post","2021","East of England","HM Prison and Probation Service","Security","50","50","35260","32360"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","260","240","37690","35000"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Finance","120","110","32890","31810"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Legal","330","300","26890","25560"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Operational Delivery","450","400","26370","25560"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Policy","60","60","40940","38630"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Project Delivery","90","80","41440","38630"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Tax","270","240","34210","31810"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Unknown","40","30","[c]","[c]"
