"Status","Year","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Inspector of Education and Training","Office for Standards in Education","70","60","67180","75500"
"Leaver CS","2021","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Ministry of Defence","40","30","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Department for International Trade","50","50","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Department of Health and Social Care","50","50","37330","32650"
"Leaver CS","2021","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Ministry of Defence","30","30","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Attorney General's Departments","230","200","59240","55610"
"Leaver CS","2021","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Ministry of Justice","100","80","41620","43460"
"Leaver CS","2021","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Department of Health and Social Care","70","50","83090","89810"
"Leaver CS","2021","Medicine","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Ministry of Defence","180","160","42170","35470"
"Leaver CS","2021","Medicine","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Attorney General's Departments","110","100","27160","23520"
"Leaver CS","2021","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","150","140","30980","24500"
"Leaver CS","2021","Operational Delivery","Department for Education","60","60","44060","40140"
"Leaver CS","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","190","170","26930","24370"
"Leaver CS","2021","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Department for Transport","500","410","25440","21590"
"Leaver CS","2021","Operational Delivery","Department for Work and Pensions","100","80","43800","43960"
"Leaver CS","2021","Operational Delivery","Department of Health and Social Care","280","250","39190","32650"
"Leaver CS","2021","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","HM Land Registry","200","160","27520","27130"
"Leaver CS","2021","Operational Delivery","HM Revenue and Customs","50","50","21110","20000"
"Leaver CS","2021","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Home Office","530","430","26360","24890"
"Leaver CS","2021","Operational Delivery","Ministry of Defence","100","100","30740","27670"
"Leaver CS","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Ministry of Justice","5080","4610","22520","20100"
"Leaver CS","2021","Operational Delivery","National Crime Agency","150","150","43260","40170"
"Leaver CS","2021","Operational Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Scottish Government","350","310","29090","25870"
"Leaver CS","2021","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","United Kingdom Statistics Authority","180","130","24330","19520"
"Leaver CS","2021","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Welsh Government","40","40","[c]","[c]"
"Leaver CS","2021","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2021","Operational Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Home Office","90","80","30520","28650"
"Leaver CS","2021","Other","Ministry of Defence","1150","1100","28260","26670"
"Leaver CS","2021","Other","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"Leaver CS","2021","Other","Scottish Government","40","40","[c]","[c]"
"Leaver CS","2021","Other","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Business, Energy and Industrial Strategy","130","120","52570","52300"
"Leaver CS","2021","Policy","Department for Digital, Culture, Media and Sport","60","60","[c]","[c]"
"Leaver CS","2021","Policy","Department for Education","140","140","47910","42280"
"Leaver CS","2021","Policy","Department for Environment, Food and Rural Affairs","140","140","37510","32400"
"Leaver CS","2021","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"Leaver CS","2021","Policy","HM Treasury","50","50","[c]","[c]"
"Leaver CS","2021","Policy","Home Office","50","50","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Defence","40","30","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Justice","40","40","[c]","[c]"
"Leaver CS","2021","Policy","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Welsh Government","40","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
