"Status","Year","Organisation","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Legal","70","70","27790","26550"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Operational Delivery","1010","990","20920","19930"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Unknown","Digital, Data and Technology","100","100","31890","27130"
"New entrant CS","2021","HM Land Registry","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Unknown","Operational Delivery","490","480","22840","22350"
"New entrant CS","2021","HM Land Registry","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Operational Delivery","300","290","24000","22920"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Operational Delivery","3030","2950","23700","22850"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Psychology","60","60","25340","24620"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Security","40","40","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Undeclared","Operational Delivery","100","90","23290","22850"
"New entrant CS","2021","HM Prison and Probation Service","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Operational Delivery","2060","1960","23750","22850"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Psychology","40","40","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Security","30","30","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Tax","90","80","23490","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Digital, Data and Technology","70","70","36440","31810"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Legal","30","30","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Operational Delivery","170","170","23130","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Tax","980","960","23000","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Unknown","150","150","28210","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Tax","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
