"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","G6/G7","110","110","60460","58850"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","SEO/HEO","110","110","37850","37560"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","G6/G7","50","50","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","No function","AA/AO","260","250","26410","25000"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","No function","EO","370","370","30720","30510"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","No function","G6/G7","1190","1170","60120","58600"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","No function","SCS","360","350","87170","78010"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","No function","SEO/HEO","1420","1400","37330","36550"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","EO","80","80","28300","26120"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","G6/G7","1190","1160","58450","56110"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","SCS","80","80","81700","77650"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","SEO/HEO","410","390","37620","38600"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Property","G6/G7","30","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Security","EO","40","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Security","G6/G7","90","90","58760","57400"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Security","SEO/HEO","180","170","36880","34950"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","G6/G7","70","70","60720","58470"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","SEO/HEO","70","70","38210","37810"
"In post","2022","Forestry and Land Scotland","Unknown","AA/AO","460","440","25960","25940"
"In post","2022","Forestry and Land Scotland","Unknown","EO","270","260","31900","31060"
"In post","2022","Forestry and Land Scotland","Unknown","G6/G7","40","40","[c]","[c]"
"In post","2022","Forestry and Land Scotland","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Forestry and Land Scotland","Unknown","SEO/HEO","250","240","41180","39520"
"In post","2022","Government Actuary's Department","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Analysis","G6/G7","120","110","86270","80750"
"In post","2022","Government Actuary's Department","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Analysis","SEO/HEO","50","50","40160","38670"
"In post","2022","Government Actuary's Department","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","No function","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Actuary's Department","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Internal Audit","G6/G7","130","130","57410","56370"
"In post","2022","Government Internal Audit Agency","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Internal Audit","SEO/HEO","190","180","41070","40960"
"In post","2022","Government Internal Audit Agency","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Internal Audit Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Legal","AA/AO","40","40","[c]","[c]"
"In post","2022","Government Legal Department","Legal","EO","310","300","28440","27430"
"In post","2022","Government Legal Department","Legal","G6/G7","1710","1560","59300","59840"
"In post","2022","Government Legal Department","Legal","SCS","200","190","82820","78360"
"In post","2022","Government Legal Department","Legal","SEO/HEO","200","200","38720","42390"
"In post","2022","Government Legal Department","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Government Property Agency","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Government Property Agency","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Government Property Agency","Property","G6/G7","150","150","59360","57650"
"In post","2022","Government Property Agency","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Government Property Agency","Property","SEO/HEO","110","110","36940","37300"
"In post","2022","Health and Safety Executive","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Digital, Data & Technology","EO","30","30","[c]","[c]"
"In post","2022","Health and Safety Executive","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Digital, Data & Technology","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Health and Safety Executive","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Health and Safety Executive","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
