"Status","Year","Profession_of_post","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Commercial","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Scottish Government","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Scottish Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","UK Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","UK Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Attorney General's Departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Environment, Food and Rural Affairs","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Levelling Up, Housing and Communities","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Levelling Up, Housing and Communities","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Work and Pensions","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department for Work and Pensions","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department of Health and Social Care","Declared non-disabled","80","70","42620","37880"
"Leaver Dept.","2022","Communications","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Department of Health and Social Care","Unknown","130","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Foreign, Commonwealth and Development Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Foreign, Commonwealth and Development Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","HM Revenue and Customs","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","HM Revenue and Customs","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Home Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Ministry of Defence","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office of Gas and Electricity Markets","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office of the Secretary of State for Wales","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Office of the Secretary of State for Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Scottish Government","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Scottish Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","The National Archives","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","UK Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","UK Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Welsh Government","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Welsh Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Department for Levelling Up, Housing and Communities","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Department for Levelling Up, Housing and Communities","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Department of Health and Social Care","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Office of Gas and Electricity Markets","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Attorney General's Departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Work and Pensions","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Work and Pensions","Declared non-disabled","60","50","28740","27570"
"Leaver Dept.","2022","Counter Fraud","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Home Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Attorney General's Departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Education","Declared non-disabled","50","50","45270","45850"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
