"Status","Year","Organisation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Scottish Government (excl. agencies)","60-64","Unknown","420","380","46250","44010"
"In post","2022","Scottish Government (excl. agencies)","65+","Unknown","130","110","39880","35240"
"In post","2022","Scottish Housing Regulator","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","20-29","Operational Delivery","550","540","26290","23330"
"In post","2022","Scottish Prison Service","20-29","Other","80","80","26520","23330"
"In post","2022","Scottish Prison Service","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","30-39","Operational Delivery","920","900","30620","32170"
"In post","2022","Scottish Prison Service","30-39","Other","160","150","31340","29900"
"In post","2022","Scottish Prison Service","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","30-39","Psychology","40","40","[c]","[c]"
"In post","2022","Scottish Prison Service","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","40-49","Operational Delivery","570","560","32870","35000"
"In post","2022","Scottish Prison Service","40-49","Other","110","110","34320","31270"
"In post","2022","Scottish Prison Service","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","40-49","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","50-59","Commercial","30","30","[c]","[c]"
"In post","2022","Scottish Prison Service","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","50-59","Operational Delivery","1120","1070","35700","35000"
"In post","2022","Scottish Prison Service","50-59","Other","230","210","36180","35000"
"In post","2022","Scottish Prison Service","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","50-59","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","60-64","Operational Delivery","280","170","35220","35000"
"In post","2022","Scottish Prison Service","60-64","Other","70","60","34290","35000"
"In post","2022","Scottish Prison Service","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","65+","Operational Delivery","50","30","33960","35000"
"In post","2022","Scottish Prison Service","65+","Other","30","20","[c]","[c]"
"In post","2022","Scottish Prison Service","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","20-29","Unknown","30","30","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","30-39","Unknown","80","70","30260","27230"
"In post","2022","Scottish Public Pensions Agency","40-49","Unknown","80","70","32640","28990"
"In post","2022","Scottish Public Pensions Agency","50-59","Unknown","90","80","30820","25930"
"In post","2022","Scottish Public Pensions Agency","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Counter Fraud","60","60","42300","40000"
"In post","2022","Serious Fraud Office","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Counter Fraud","50","50","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Counter Fraud","70","70","52400","51270"
"In post","2022","Serious Fraud Office","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","65+","Other","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","20-29","Unknown","550","540","26160","27230"
"In post","2022","Social Security Scotland","30-39","Unknown","720","700","30610","27230"
"In post","2022","Social Security Scotland","40-49","Unknown","610","590","32930","27940"
"In post","2022","Social Security Scotland","50-59","Unknown","460","450","34310","27940"
"In post","2022","Social Security Scotland","60-64","Unknown","70","70","28200","24400"
"In post","2022","Social Security Scotland","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","20-29","Unknown","60","50","24710","23230"
"In post","2022","Student Awards Agency for Scotland","30-39","Unknown","50","50","31230","30040"
"In post","2022","Student Awards Agency for Scotland","40-49","Unknown","60","50","36850","34600"
"In post","2022","Student Awards Agency for Scotland","50-59","Unknown","50","50","35370","28460"
"In post","2022","Student Awards Agency for Scotland","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","20-29","Human Resources","[c]","[c]","[c]","[c]"
