"Status","Year","Profession_of_post","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Legal","Competition and Markets Authority","Legal","150","140","68780","71370"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","Legal","120","120","47900","43740"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Education","Legal","60","60","54580","60680"
"In post","2022","Legal","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","Legal","130","110","57090","57540"
"In post","2022","Legal","HM Land Registry","Legal","270","250","49180","56750"
"In post","2022","Legal","HM Revenue and Customs","Counter Fraud","3400","3250","33750","33080"
"In post","2022","Legal","HM Revenue and Customs","Legal","430","410","51770","52780"
"In post","2022","Legal","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","Legal","60","50","55390","54480"
"In post","2022","Legal","Ministry of Justice","No function","1330","1220","44240","43320"
"In post","2022","Legal","National Crime Agency","Legal","50","50","55030","60960"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","Legal","80","80","63140","64000"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Government","Legal","780","740","53550","53490"
"In post","2022","Legal","Scottish Government","No function","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","Legal","30","30","[c]","[c]"
"In post","2022","Legal","UK Statistics Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Welsh Government","Unknown","160","150","57340","61440"
"In post","2022","Medicine","Department for Transport","No function","50","50","77410","86300"
"In post","2022","Medicine","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Department of Health and Social Care","No function","530","470","84770","84360"
"In post","2022","Medicine","Foreign, Commonwealth and Development Office","Project Delivery","50","40","[c]","[c]"
"In post","2022","Medicine","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Ministry of Defence","Unknown","1650","1450","47170","39030"
"In post","2022","Medicine","Welsh Government","Unknown","190","180","46640","47470"
"In post","2022","Operational Delivery","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Attorney General's Departments","Legal","2820","2610","26760","25480"
"In post","2022","Operational Delivery","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Attorney General's Departments","Unknown","60","60","37660","38180"
"In post","2022","Operational Delivery","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Cabinet Office","No function","190","180","41310","38980"
"In post","2022","Operational Delivery","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Charity Commission","No function","290","270","31150","29160"
"In post","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","No function","3610","3380","30930","26290"
"In post","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Project Delivery","300","290","41540","39650"
"In post","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Property","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Department for Digital, Culture, Media and Sport","No function","30","30","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","No function","1550","1490","42210","37100"
"In post","2022","Operational Delivery","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Analysis","50","40","[c]","[c]"
"In post","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Commercial","40","30","[c]","[c]"
"In post","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Communications","50","50","33340","30320"
"In post","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Grants Management","2310","2120","25120","21300"
"In post","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","No function","1850","1750","28170","25190"
"In post","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Project Delivery","110","100","29490","24920"
"In post","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Unknown","80","80","36050","32560"
"In post","2022","Operational Delivery","Department for International Trade","No function","140","140","40190","32120"
"In post","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","No function","700","670","33920","30870"
"In post","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","Property","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Transport","No function","9590","8670","26180","26130"
"In post","2022","Operational Delivery","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Work and Pensions","Analysis","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Work and Pensions","Counter Fraud","820","720","25090","25110"
"In post","2022","Operational Delivery","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Department for Work and Pensions","Human Resources","790","740","30440","27570"
"In post","2022","Operational Delivery","Department for Work and Pensions","No function","66870","59560","26750","27570"
"In post","2022","Operational Delivery","Department for Work and Pensions","Project Delivery","190","180","33600","32120"
"In post","2022","Operational Delivery","Department for Work and Pensions","Unknown","290","280","31860","31990"
