"Status","Year","Responsibility_level","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Male","Food Standards Agency","350","330","27320","26750"
"In post","2021","EO","Male","Food Standards Scotland","60","60","28870","29190"
"In post","2021","EO","Male","Foreign, Commonwealth and Development Office (excl. agencies)","280","270","29930","30300"
"In post","2021","EO","Male","Forestry and Land Scotland","160","160","32040","30160"
"In post","2021","EO","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Government Legal Department","120","120","28730","27580"
"In post","2021","EO","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Health and Safety Executive","160","160","27690","26680"
"In post","2021","EO","Male","HM Courts and Tribunals Service","710","700","24210","23730"
"In post","2021","EO","Male","HM Land Registry","700","660","27750","27130"
"In post","2021","EO","Male","HM Prison and Probation Service","3840","3680","31930","33520"
"In post","2021","EO","Male","HM Revenue and Customs (excl. agencies)","6850","6590","26330","25560"
"In post","2021","EO","Male","HM Treasury (excl. agencies)","80","80","26440","26750"
"In post","2021","EO","Male","Home Office (incl. agencies)","7170","6730","27050","26160"
"In post","2021","EO","Male","Insolvency Service","80","80","26220","26290"
"In post","2021","EO","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Legal Aid Agency","140","130","23860","22570"
"In post","2021","EO","Male","Maritime and Coastguard Agency","130","130","29930","31470"
"In post","2021","EO","Male","Medicines and Healthcare Products Regulatory Agency","70","70","27700","27400"
"In post","2021","EO","Male","Met Office","100","100","26690","26630"
"In post","2021","EO","Male","Ministry of Defence (excl. agencies)","3990","3940","29220","26930"
"In post","2021","EO","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","120","120","28860","27850"
"In post","2021","EO","Male","Ministry of Justice (excl. agencies)","300","300","26010","26410"
"In post","2021","EO","Male","National Crime Agency","1210","1200","34240","34520"
"In post","2021","EO","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Office for Standards in Education, Children's Services and Skills","80","80","26440","25880"
"In post","2021","EO","Male","Office of Gas and Electricity Markets","130","130","25540","25300"
"In post","2021","EO","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Office of the Public Guardian","160","150","22320","22570"
"In post","2021","EO","Male","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Planning Inspectorate","50","50","26720","26050"
"In post","2021","EO","Male","Public Health England","220","200","26000","26410"
"In post","2021","EO","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Registers of Scotland","160","160","30080","30080"
"In post","2021","EO","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Rural Payments Agency","260","260","25490","25190"
"In post","2021","EO","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Scottish Courts and Tribunals Service","150","150","28520","29350"
"In post","2021","EO","Male","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Scottish Government (excl. agencies)","550","540","28680","29190"
"In post","2021","EO","Male","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Scottish Prison Service","1520","1430","32980","33650"
"In post","2021","EO","Male","Scottish Public Pensions Agency","40","30","[c]","[c]"
"In post","2021","EO","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Social Security Scotland","90","90","27180","27150"
"In post","2021","EO","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","The National Archives","30","30","[c]","[c]"
"In post","2021","EO","Male","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","UK Hydrographic Office","140","130","27470","26740"
"In post","2021","EO","Male","UK Intellectual Property Office","210","200","26170","26860"
"In post","2021","EO","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","United Kingdom Statistics Authority","260","260","24070","23050"
"In post","2021","EO","Male","Valuation Office Agency","420","410","26730","26000"
"In post","2021","EO","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Welsh Government (excl. agencies)","440","430","28700","28850"
"In post","2021","EO","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","G6/G7","Female","Animal and Plant Health Agency","100","100","54150","54220"
"In post","2021","G6/G7","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Cabinet Office (excl. agencies)","1500","1460","59400","55950"
"In post","2021","G6/G7","Female","Centre for Environment, Fisheries and Aquaculture Science","30","30","[c]","[c]"
"In post","2021","G6/G7","Female","Charity Commission","40","40","[c]","[c]"
"In post","2021","G6/G7","Female","Companies House","30","30","[c]","[c]"
"In post","2021","G6/G7","Female","Competition and Markets Authority","220","210","65750","62890"
"In post","2021","G6/G7","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Crown Commercial Service","110","110","51650","49300"
"In post","2021","G6/G7","Female","Crown Office and Procurator Fiscal Service","140","130","66610","68470"
"In post","2021","G6/G7","Female","Crown Prosecution Service","1740","1560","56880","55610"
"In post","2021","G6/G7","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Defence Equipment and Support","480","460","55700","54530"
"In post","2021","G6/G7","Female","Defence Science and Technology Laboratory","580","540","49470","46090"
"In post","2021","G6/G7","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","1080","1030","58280","56220"
"In post","2021","G6/G7","Female","Department for Digital, Culture, Media and Sport","420","400","58320","55220"
"In post","2021","G6/G7","Female","Department for Education (excl. agencies)","1210","1140","56410","54160"
"In post","2021","G6/G7","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","940","890","54280","53200"
"In post","2021","G6/G7","Female","Department for International Trade","490","480","54780","51970"
"In post","2021","G6/G7","Female","Department for Transport (excl. agencies)","530","510","58350","54760"
"In post","2021","G6/G7","Female","Department for Work and Pensions (excl. agencies)","1360","1280","55520","54000"
"In post","2021","G6/G7","Female","Department of Health and Social Care (excl. agencies)","790","750","57590","53360"
"In post","2021","G6/G7","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Driver and Vehicle Licensing Agency","100","90","63630","55320"
"In post","2021","G6/G7","Female","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","G6/G7","Female","Education and Skills Funding Agency","320","310","54990","50790"
"In post","2021","G6/G7","Female","Education Scotland","140","130","68300","70160"
"In post","2021","G6/G7","Female","ESTYN","30","30","[c]","[c]"
"In post","2021","G6/G7","Female","FCDO Services","60","50","63490","58890"
"In post","2021","G6/G7","Female","Food Standards Agency","110","100","56420","55300"
"In post","2021","G6/G7","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Foreign, Commonwealth and Development Office (excl. agencies)","1510","1460","58810","57910"
"In post","2021","G6/G7","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Government Actuary's Department","50","40","[c]","[c]"
"In post","2021","G6/G7","Female","Government Internal Audit Agency","70","70","57400","55230"
"In post","2021","G6/G7","Female","Government Legal Department","1120","990","59250","57520"
"In post","2021","G6/G7","Female","Government Property Agency","40","40","[c]","[c]"
"In post","2021","G6/G7","Female","Health and Safety Executive","200","190","58500","56350"
"In post","2021","G6/G7","Female","HM Courts and Tribunals Service","400","390","55390","53520"
"In post","2021","G6/G7","Female","HM Land Registry","170","150","62370","60520"
"In post","2021","G6/G7","Female","HM Prison and Probation Service","400","390","71100","69050"
"In post","2021","G6/G7","Female","HM Revenue and Customs (excl. agencies)","3240","3080","56760","52580"
"In post","2021","G6/G7","Female","HM Treasury (excl. agencies)","380","360","58370","56750"
"In post","2021","G6/G7","Female","Home Office (incl. agencies)","1590","1530","60480","57680"
"In post","2021","G6/G7","Female","Insolvency Service","70","70","58430","56140"
"In post","2021","G6/G7","Female","Institute for Apprenticeships and Technical Education","70","60","55510","53680"
"In post","2021","G6/G7","Female","Legal Aid Agency","40","40","[c]","[c]"
"In post","2021","G6/G7","Female","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2021","G6/G7","Female","Medicines and Healthcare Products Regulatory Agency","240","230","58600","53910"
"In post","2021","G6/G7","Female","Met Office","180","170","50850","48080"
"In post","2021","G6/G7","Female","Ministry of Defence (excl. agencies)","1120","1040","63010","59730"
"In post","2021","G6/G7","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","500","480","56430","53130"
"In post","2021","G6/G7","Female","Ministry of Justice (excl. agencies)","730","700","58310","57780"
"In post","2021","G6/G7","Female","National Crime Agency","120","120","62490","59160"
"In post","2021","G6/G7","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Office for Standards in Education, Children's Services and Skills","350","340","72590","75500"
"In post","2021","G6/G7","Female","Office of Gas and Electricity Markets","190","180","58890","57140"
"In post","2021","G6/G7","Female","Office of Qualifications and Examinations Regulation","50","50","52800","48350"
"In post","2021","G6/G7","Female","Office of Rail and Road","60","50","60990","58700"
"In post","2021","G6/G7","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Planning Inspectorate","150","140","57620","58810"
"In post","2021","G6/G7","Female","Public Health England","1190","1100","57580","54230"
"In post","2021","G6/G7","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Rural Payments Agency","50","50","53150","49770"
"In post","2021","G6/G7","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Scottish Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","G6/G7","Female","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
