"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","AA/AO","Welsh Government (excl. agencies)","100","90","24320","24630"
"In post","2022","Undeclared","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Animal and Plant Health Agency","80","70","26490","25650"
"In post","2022","Undeclared","EO","Cabinet Office (excl. agencies)","60","60","27180","27500"
"In post","2022","Undeclared","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Crown Prosecution Service","50","40","[c]","[c]"
"In post","2022","Undeclared","EO","Defence Electronics and Components Agency","180","170","29540","29470"
"In post","2022","Undeclared","EO","Defence Equipment and Support","180","180","22860","22330"
"In post","2022","Undeclared","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Department for Education (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Undeclared","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Undeclared","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Department for Work and Pensions (excl. agencies)","3740","3340","28060","27570"
"In post","2022","Undeclared","EO","Department of Health and Social Care (excl. agencies)","210","200","26500","27270"
"In post","2022","Undeclared","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Driver and Vehicle Licensing Agency","190","170","26800","26780"
"In post","2022","Undeclared","EO","Driver and Vehicle Standards Agency","530","470","28200","26780"
"In post","2022","Undeclared","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Food Standards Agency","30","30","[c]","[c]"
"In post","2022","Undeclared","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Undeclared","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Government Legal Department","30","30","[c]","[c]"
"In post","2022","Undeclared","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Health and Safety Executive","70","70","27960","27410"
"In post","2022","Undeclared","EO","HM Courts and Tribunals Service","330","320","26360","25120"
"In post","2022","Undeclared","EO","HM Land Registry","270","240","27420","27130"
"In post","2022","Undeclared","EO","HM Prison and Probation Service","570","540","31740","32240"
"In post","2022","Undeclared","EO","HM Revenue and Customs (excl. agencies)","970","880","27960","26820"
"In post","2022","Undeclared","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Home Office","1640","1480","27480","27370"
"In post","2022","Undeclared","EO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Legal Aid Agency","30","30","[c]","[c]"
"In post","2022","Undeclared","EO","Maritime and Coastguard Agency","30","30","[c]","[c]"
"In post","2022","Undeclared","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Met Office","40","40","[c]","[c]"
"In post","2022","Undeclared","EO","Ministry of Defence (excl. agencies)","760","740","29410","26930"
"In post","2022","Undeclared","EO","Ministry of Justice (excl. agencies)","70","70","27580","28310"
"In post","2022","Undeclared","EO","National Crime Agency","180","180","34170","34100"
"In post","2022","Undeclared","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Office of the Public Guardian","30","30","[c]","[c]"
"In post","2022","Undeclared","EO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Scottish Government (excl. agencies)","60","60","28540","27230"
"In post","2022","Undeclared","EO","Scottish Prison Service","30","30","[c]","[c]"
"In post","2022","Undeclared","EO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","UK Health Security Agency","80","70","25980","26880"
"In post","2022","Undeclared","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Valuation Office Agency","80","70","28040","27000"
"In post","2022","Undeclared","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Welsh Government (excl. agencies)","110","110","28980","29430"
"In post","2022","Undeclared","EO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Animal and Plant Health Agency","50","50","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Cabinet Office (excl. agencies)","210","210","58250","56340"
"In post","2022","Undeclared","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Crown Prosecution Service","90","90","56410","54770"
"In post","2022","Undeclared","G6/G7","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Defence Equipment and Support","220","210","56590","55640"
"In post","2022","Undeclared","G6/G7","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","280","59330","57620"
"In post","2022","Undeclared","G6/G7","Department for Digital, Culture, Media and Sport","60","60","55800","53260"
"In post","2022","Undeclared","G6/G7","Department for Education (excl. agencies)","190","180","56300","53420"
"In post","2022","Undeclared","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","160","150","53760","52290"
"In post","2022","Undeclared","G6/G7","Department for International Trade","70","70","56130","53170"
"In post","2022","Undeclared","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","80","80","56250","53380"
"In post","2022","Undeclared","G6/G7","Department for Transport (excl. agencies)","130","120","62430","59540"
"In post","2022","Undeclared","G6/G7","Department for Work and Pensions (excl. agencies)","230","230","58090","55350"
"In post","2022","Undeclared","G6/G7","Department of Health and Social Care (excl. agencies)","650","630","57200","53360"
"In post","2022","Undeclared","G6/G7","Driver and Vehicle Licensing Agency","60","50","62600","57050"
"In post","2022","Undeclared","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","230","220","60560","59510"
"In post","2022","Undeclared","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Government Legal Department","110","100","61080","63730"
"In post","2022","Undeclared","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Health and Safety Executive","90","90","62770","59150"
"In post","2022","Undeclared","G6/G7","HM Courts and Tribunals Service","90","90","57070","54850"
"In post","2022","Undeclared","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","HM Prison and Probation Service","70","70","72540","70450"
"In post","2022","Undeclared","G6/G7","HM Revenue and Customs (excl. agencies)","670","640","60540","56120"
"In post","2022","Undeclared","G6/G7","HM Treasury (excl. agencies)","100","100","58270","56340"
"In post","2022","Undeclared","G6/G7","Home Office","420","410","61050","57740"
"In post","2022","Undeclared","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Medicines and Healthcare Products Regulatory Agency","50","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Met Office","100","100","52140","48610"
"In post","2022","Undeclared","G6/G7","Ministry of Defence (excl. agencies)","360","340","62490","59730"
"In post","2022","Undeclared","G6/G7","Ministry of Justice (excl. agencies)","150","150","61590","60280"
"In post","2022","Undeclared","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Planning Inspectorate","30","30","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Scottish Government (excl. agencies)","130","130","63060","62170"
"In post","2022","Undeclared","G6/G7","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","UK Health Security Agency","150","130","59880","53750"
"In post","2022","Undeclared","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Valuation Office Agency","50","50","60670","58250"
"In post","2022","Undeclared","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Welsh Government (excl. agencies)","150","140","62620","61440"
"In post","2022","Undeclared","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Undeclared","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
