"Status","Year","Function_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Communications","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","HM Revenue and Customs (excl. agencies)","130","130","31830","31810"
"New entrant CS","2021","Communications","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","AA/AO","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","HM Revenue and Customs (excl. agencies)","80","80","26210","25560"
"New entrant CS","2021","Counter Fraud","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","AA/AO","HM Revenue and Customs (excl. agencies)","940","920","20320","20140"
"New entrant CS","2021","Debt","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","HM Land Registry","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","HM Revenue and Customs (excl. agencies)","70","70","25680","25560"
"New entrant CS","2021","Digital, Data & Technology","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","National Crime Agency","30","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","United Kingdom Statistics Authority","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Cabinet Office (excl. agencies)","80","80","56670","54700"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","50990","49320"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
