"Status","Year","Profession_of_post","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","50-59","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Submarine Delivery Agency","30","30","[c]","[c]"
"In post","2022","Commercial","50-59","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","UK Health Security Agency","40","40","[c]","[c]"
"In post","2022","Commercial","50-59","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2022","Commercial","60-64","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Commercial","60-64","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Ministry of Defence (excl. agencies)","60","50","39640","40000"
"In post","2022","Commercial","60-64","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","60-64","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","65+","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Communications","16-19","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Communications","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Department for Education (excl. agencies)","80","80","33640","32870"
"In post","2022","Communications","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","33540","32560"
"In post","2022","Communications","20-29","Department for International Trade","50","50","37250","38160"
"In post","2022","Communications","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Communications","20-29","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Department of Health and Social Care (excl. agencies)","120","120","37090","32790"
"In post","2022","Communications","20-29","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Home Office","40","40","[c]","[c]"
"In post","2022","Communications","20-29","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Ministry of Defence (excl. agencies)","80","80","33800","33100"
"In post","2022","Communications","20-29","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Communications","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
