"Status","Year","Sexual_orientation","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","West Midlands (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Midlands (England)","Department for Business, Energy and Industrial Strategy","360","340","36120","34280"
"In post","2021","Heterosexual / straight","West Midlands (England)","Department for Education","820","800","40780","36780"
"In post","2021","Heterosexual / straight","West Midlands (England)","Department for Environment, Food and Rural Affairs","410","380","34600","30400"
"In post","2021","Heterosexual / straight","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Midlands (England)","Department for Transport","270","260","30090","27680"
"In post","2021","Heterosexual / straight","West Midlands (England)","Department for Work and Pensions","4780","4250","26560","27570"
"In post","2021","Heterosexual / straight","West Midlands (England)","Department of Health and Social Care","300","270","41480","33180"
"In post","2021","Heterosexual / straight","West Midlands (England)","Food Standards Agency","70","70","36350","32480"
"In post","2021","Heterosexual / straight","West Midlands (England)","HM Land Registry","340","310","30420","27130"
"In post","2021","Heterosexual / straight","West Midlands (England)","HM Revenue and Customs","2320","2180","34230","31810"
"In post","2021","Heterosexual / straight","West Midlands (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Midlands (England)","Home Office","870","810","27740","25310"
"In post","2021","Heterosexual / straight","West Midlands (England)","Ministry of Defence","2030","1970","30330","26670"
"In post","2021","Heterosexual / straight","West Midlands (England)","Ministry of Housing, Communities and Local Government","110","110","38280","36340"
"In post","2021","Heterosexual / straight","West Midlands (England)","Ministry of Justice","6460","6060","27510","23970"
"In post","2021","Heterosexual / straight","West Midlands (England)","National Crime Agency","370","360","37570","36410"
"In post","2021","Heterosexual / straight","West Midlands (England)","Office for Standards in Education","130","130","55000","51360"
"In post","2021","Heterosexual / straight","West Midlands (England)","Office of Qualifications and Examinations Regulation","170","160","44970","40250"
"In post","2021","Heterosexual / straight","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Midlands (England)","Other Cabinet Office Agencies","60","50","39710","34800"
"In post","2021","Heterosexual / straight","West Midlands (England)","Water Services Regulation Authority","70","70","54370","50620"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Attorney General's Departments","670","620","41530","38180"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Cabinet Office","340","320","35580","33300"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy","100","90","34410","31850"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Department for Education","1100","1050","41220","36960"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs","710","690","36390","35900"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Department for Transport","330","310","30790","26780"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Department for Work and Pensions","6270","5620","30150","27570"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Department of Health and Social Care","790","750","43560","38140"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Food Standards Agency","210","210","37230","35730"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","HM Land Registry","210","190","29550","27130"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","HM Revenue and Customs","2700","2480","32190","31810"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","HM Treasury","60","50","43900","43950"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Home Office","2920","2690","27890","25040"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Ministry of Defence","1570","1520","27950","26670"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Ministry of Housing, Communities and Local Government","60","60","45550","38640"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Ministry of Justice","5970","5510","28790","26300"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","National Crime Agency","200","190","37040","36410"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Office for Standards in Education","120","110","63920","70500"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
