"Status","Year","Disability","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared non-disabled","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Medicine","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Medicine","Department of Health and Social Care","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Medicine","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Medicine","Ministry of Defence","100","90","41070","33180"
"Leaver CS","2021","Declared non-disabled","Medicine","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Attorney General's Departments","70","60","28330","23520"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Department for Business, Energy and Industrial Strategy","60","50","33900","27460"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Department for Education","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Department for Transport","290","240","26310","21590"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Department for Work and Pensions","80","70","44810","44800"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Department of Health and Social Care","190","180","38740","32650"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","HM Land Registry","110","80","29660","27130"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Home Office","410","330","26420","24890"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Ministry of Defence","70","60","30440","26670"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Ministry of Justice","2810","2530","22760","20160"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","National Crime Agency","50","50","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Scottish Government","60","50","25560","22220"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","United Kingdom Statistics Authority","60","50","25800","21230"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","Welsh Government","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Research","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Home Office","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Ministry of Defence","580","550","26880","23610"
"Leaver CS","2021","Declared non-disabled","Other","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Planning","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Planning","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Planning","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Planning Inspectors","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Department for Business, Energy and Industrial Strategy","90","80","53820","53030"
"Leaver CS","2021","Declared non-disabled","Policy","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Department for Education","100","100","48200","41260"
"Leaver CS","2021","Declared non-disabled","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","HM Treasury","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Home Office","40","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Ministry of Defence","200","180","40960","38080"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
