"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Undeclared","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Public Health England","40","30","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Department for Transport (excl. agencies)","100","100","33630","34710"
"New entrant CS","2021","Undeclared","SEO/HEO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Food Standards Agency","50","50","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","HM Treasury (excl. agencies)","60","60","31850","32320"
"New entrant CS","2021","Undeclared","SEO/HEO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Public Health England","120","100","35020","33760"
"New entrant CS","2021","Undeclared","SEO/HEO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","HM Prison and Probation Service","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Animal and Plant Health Agency","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Cabinet Office (excl. agencies)","80","80","20890","20800"
"New entrant CS","2021","Unknown","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Crown Prosecution Service","300","300","20400","20120"
"New entrant CS","2021","Unknown","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Department for International Trade","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Department for Work and Pensions (excl. agencies)","510","500","21460","21010"
"New entrant CS","2021","Unknown","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Driver and Vehicle Licensing Agency","130","110","20120","21590"
"New entrant CS","2021","Unknown","AA/AO","Driver and Vehicle Standards Agency","80","80","24230","23990"
"New entrant CS","2021","Unknown","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","HM Courts and Tribunals Service","870","850","19790","19060"
"New entrant CS","2021","Unknown","AA/AO","HM Land Registry","520","510","22520","22350"
"New entrant CS","2021","Unknown","AA/AO","HM Prison and Probation Service","1620","1580","23800","22850"
"New entrant CS","2021","Unknown","AA/AO","HM Revenue and Customs (excl. agencies)","1980","1910","20240","20140"
"New entrant CS","2021","Unknown","AA/AO","Home Office (incl. agencies)","460","450","21860","21430"
"New entrant CS","2021","Unknown","AA/AO","Insolvency Service","110","110","21100","20880"
"New entrant CS","2021","Unknown","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Maritime and Coastguard Agency","50","50","24400","26590"
"New entrant CS","2021","Unknown","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Ministry of Defence (excl. agencies)","380","370","23810","20920"
"New entrant CS","2021","Unknown","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","National Crime Agency","80","80","21920","20800"
"New entrant CS","2021","Unknown","AA/AO","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Scottish Courts and Tribunals Service","60","50","20680","20850"
"New entrant CS","2021","Unknown","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Scottish Government (excl. agencies)","60","60","22860","23340"
"New entrant CS","2021","Unknown","AA/AO","Scottish Prison Service","240","240","20980","20810"
"New entrant CS","2021","Unknown","AA/AO","Social Security Scotland","70","70","20340","20060"
"New entrant CS","2021","Unknown","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","United Kingdom Statistics Authority","110","100","19510","19130"
"New entrant CS","2021","Unknown","AA/AO","Valuation Office Agency","60","60","20920","20880"
"New entrant CS","2021","Unknown","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Advisory, Conciliation and Arbitration Service","80","80","24310","24250"
"New entrant CS","2021","Unknown","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Cabinet Office (excl. agencies)","70","70","26580","27500"
"New entrant CS","2021","Unknown","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Crown Commercial Service","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Crown Prosecution Service","80","80","26680","26970"
"New entrant CS","2021","Unknown","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Defence Equipment and Support","100","100","19180","16780"
"New entrant CS","2021","Unknown","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Department for Education (excl. agencies)","200","200","26100","25000"
"New entrant CS","2021","Unknown","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","22300","22430"
"New entrant CS","2021","Unknown","EO","Department for International Trade","30","30","[c]","[c]"
