"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","HM Revenue and Customs (excl. agencies)","590","480","[c]","[c]"
"Leaver CS","2021","Scotland","Home Office (incl. agencies)","50","50","25240","24110"
"Leaver CS","2021","Scotland","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Ministry of Defence (excl. agencies)","190","170","32050","31520"
"Leaver CS","2021","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Scottish Courts and Tribunals Service","100","90","27950","22820"
"Leaver CS","2021","Scotland","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Scottish Government (excl. agencies)","270","250","41780","35110"
"Leaver CS","2021","Scotland","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Scottish Prison Service","240","210","32460","33650"
"Leaver CS","2021","Scotland","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Animal and Plant Health Agency","50","50","27060","24370"
"Leaver CS","2021","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Crown Prosecution Service","40","30","[c]","[c]"
"Leaver CS","2021","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Defence Science and Technology Laboratory","90","90","29830","28650"
"Leaver CS","2021","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Department for Work and Pensions (excl. agencies)","340","300","26280","26890"
"Leaver CS","2021","South East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","FCDO Services","60","50","38500","33030"
"Leaver CS","2021","South East (England)","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","HM Courts and Tribunals Service","130","110","23300","20100"
"Leaver CS","2021","South East (England)","HM Prison and Probation Service","680","630","[c]","[c]"
"Leaver CS","2021","South East (England)","HM Revenue and Customs (excl. agencies)","210","170","[c]","[c]"
"Leaver CS","2021","South East (England)","Home Office (incl. agencies)","110","90","26270","25990"
"Leaver CS","2021","South East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Maritime and Coastguard Agency","50","50","37140","32700"
"Leaver CS","2021","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Ministry of Defence (excl. agencies)","550","510","30140","27230"
"Leaver CS","2021","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Public Health England","40","40","[c]","[c]"
"Leaver CS","2021","South East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","United Kingdom Statistics Authority","160","110","24090","19520"
"Leaver CS","2021","South East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Defence Equipment and Support","360","340","36610","32730"
"Leaver CS","2021","South West (England)","Defence Science and Technology Laboratory","110","110","32480","28650"
"Leaver CS","2021","South West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","South West (England)","Department for Work and Pensions (excl. agencies)","290","230","24580","21010"
"Leaver CS","2021","South West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Courts and Tribunals Service","90","80","21160","19930"
"Leaver CS","2021","South West (England)","HM Land Registry","70","60","33280","31740"
"Leaver CS","2021","South West (England)","HM Prison and Probation Service","320","290","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Revenue and Customs (excl. agencies)","130","110","[c]","[c]"
"Leaver CS","2021","South West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Met Office","80","70","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Defence (excl. agencies)","480","450","31280","26930"
"Leaver CS","2021","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Planning Inspectorate","50","50","40410","41020"
"Leaver CS","2021","South West (England)","Public Health England","120","110","36370","28590"
"Leaver CS","2021","South West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Submarine Delivery Agency","30","30","[c]","[c]"
"Leaver CS","2021","South West (England)","UK Hydrographic Office","50","50","35220","33290"
"Leaver CS","2021","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Valuation Office Agency","50","40","[c]","[c]"
"Leaver CS","2021","South West (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Cabinet Office (excl. agencies)","120","120","54570","38670"
"Leaver CS","2021","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Work and Pensions (excl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Revenue and Customs (excl. agencies)","330","320","[c]","[c]"
"Leaver CS","2021","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Royal Fleet Auxiliary","150","150","35020","32400"
"Leaver CS","2021","Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Companies House","40","40","[c]","[c]"
"Leaver CS","2021","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Work and Pensions (excl. agencies)","230","190","24430","21010"
"Leaver CS","2021","Wales","Driver and Vehicle Licensing Agency","280","220","23360","21590"
"Leaver CS","2021","Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Courts and Tribunals Service","70","60","21860","19830"
"Leaver CS","2021","Wales","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Prison and Probation Service","240","220","[c]","[c]"
"Leaver CS","2021","Wales","HM Revenue and Customs (excl. agencies)","530","440","[c]","[c]"
"Leaver CS","2021","Wales","Home Office (incl. agencies)","40","30","[c]","[c]"
"Leaver CS","2021","Wales","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Ministry of Defence (excl. agencies)","80","70","27070","29200"
"Leaver CS","2021","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","UK Intellectual Property Office","40","30","[c]","[c]"
"Leaver CS","2021","Wales","United Kingdom Statistics Authority","130","120","32960","29540"
"Leaver CS","2021","Wales","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Welsh Government (excl. agencies)","140","130","42910","37410"
"Leaver CS","2021","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
