"Status","Year","Responsibility_level","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Attorney General's Departments","150","140","28250","27740"
"In post","2021","EO","Black","Cabinet Office","60","60","27890","27500"
"In post","2021","EO","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Department for Business, Energy and Industrial Strategy","70","70","28260","27690"
"In post","2021","EO","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Department for Education","60","60","28160","28500"
"In post","2021","EO","Black","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"In post","2021","EO","Black","Department for International Trade","30","30","[c]","[c]"
"In post","2021","EO","Black","Department for Transport","70","70","29330","30470"
"In post","2021","EO","Black","Department for Work and Pensions","2700","2570","29890","31060"
"In post","2021","EO","Black","Department of Health and Social Care","150","140","27370","27400"
"In post","2021","EO","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Foreign, Commonwealth and Development Office","70","70","30640","30630"
"In post","2021","EO","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","HM Revenue and Customs","430","420","28330","29570"
"In post","2021","EO","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Home Office","780","730","28650","28850"
"In post","2021","EO","Black","Ministry of Defence","140","140","26310","26670"
"In post","2021","EO","Black","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","EO","Black","Ministry of Justice","450","440","28760","27380"
"In post","2021","EO","Black","National Crime Agency","50","40","[c]","[c]"
"In post","2021","EO","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Department for Work and Pensions","70","70","28890","27570"
"In post","2021","EO","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","HM Revenue and Customs","50","50","26380","25560"
"In post","2021","EO","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Home Office","60","60","27430","27140"
"In post","2021","EO","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Attorney General's Departments","50","40","[c]","[c]"
"In post","2021","EO","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","EO","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Department for Education","40","40","[c]","[c]"
"In post","2021","EO","Mixed","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","EO","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Department for Transport","50","50","28640","26780"
"In post","2021","EO","Mixed","Department for Work and Pensions","950","890","28720","27570"
"In post","2021","EO","Mixed","Department of Health and Social Care","70","60","26920","27140"
"In post","2021","EO","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","HM Revenue and Customs","180","170","26360","25560"
"In post","2021","EO","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Home Office","280","250","27390","27370"
"In post","2021","EO","Mixed","Ministry of Defence","120","110","27070","26670"
"In post","2021","EO","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Ministry of Justice","190","180","28160","26410"
"In post","2021","EO","Mixed","National Crime Agency","50","50","[c]","[c]"
"In post","2021","EO","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Department for Work and Pensions","290","270","29310","29290"
"In post","2021","EO","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","HM Revenue and Customs","50","50","27560","25630"
"In post","2021","EO","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Home Office","100","100","27650","28670"
"In post","2021","EO","Other ethnicity","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","EO","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Ministry of Justice","60","50","27930","26410"
"In post","2021","EO","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Cabinet Office","30","30","[c]","[c]"
"In post","2021","EO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Business, Energy and Industrial Strategy","70","60","27510","26750"
"In post","2021","EO","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Environment, Food and Rural Affairs","110","100","26550","25930"
"In post","2021","EO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Transport","340","320","29060","26780"
"In post","2021","EO","Undeclared","Department for Work and Pensions","2200","1960","28330","27570"
"In post","2021","EO","Undeclared","Department of Health and Social Care","70","70","27330","27580"
"In post","2021","EO","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","EO","Undeclared","HM Land Registry","100","90","27570","27130"
"In post","2021","EO","Undeclared","HM Revenue and Customs","590","530","27350","27230"
