"Status","Year","Function_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","HM Land Registry","30","30","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","HM Revenue and Customs","190","180","36520","33080"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Ministry of Defence","140","140","30060","26350"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Ministry of Justice","130","130","44500","41750"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","UK Statistics Authority","100","90","35640","30970"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Department of Health and Social Care","60","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Cabinet Office","60","60","43370","39460"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Department for Education","30","30","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Department for Transport","30","30","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Department for Work and Pensions","90","90","37530","32760"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","HM Land Registry","50","50","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","HM Revenue and Customs","110","110","36170","33080"
"New entrant CS","2022","Digital, Data & Technology","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Ministry of Defence","70","60","33280","27840"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Ministry of Justice","70","70","41190","40660"
"New entrant CS","2022","Digital, Data & Technology","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Department for Education","80","80","34200","29360"
"New entrant CS","2022","Finance","Heterosexual / straight","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Department for Transport","40","40","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Department for Work and Pensions","110","110","32380","31990"
"New entrant CS","2022","Finance","Heterosexual / straight","Department of Health and Social Care","70","70","34680","32710"
"New entrant CS","2022","Finance","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
