"Status","Year","Function_of_post","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Finance","Planning Inspectorate","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Planning Inspectorate","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Public Health England","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Public Health England","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Public Health England","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Public Health England","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Public Health England","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Public Health England","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Registers of Scotland","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Forestry","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Prison Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Prison Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Prison Service","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Serious Fraud Office","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Submarine Delivery Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Submarine Delivery Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Submarine Delivery Agency","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Export Finance","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Export Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Export Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Export Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Hydrographic Office","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Intellectual Property Office","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Space Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","United Kingdom Statistics Authority","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","United Kingdom Statistics Authority","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","United Kingdom Statistics Authority","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","United Kingdom Statistics Authority","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Vehicle Certification Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Water Services Regulation Authority","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Welsh Revenue Authority","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Welsh Revenue Authority","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Wilton Park","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","HM Land Registry","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Rural Payments Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Rural Payments Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Rural Payments Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Rural Payments Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Rural Payments Agency","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Advisory, Conciliation and Arbitration Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Cabinet Office (excl. agencies)","20-29","50","50","26960","27500"
"New entrant CS","2021","Human Resources","Cabinet Office (excl. agencies)","30-39","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Cabinet Office (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Cabinet Office (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Companies House","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Companies House","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Companies House","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Companies House","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Crown Commercial Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Crown Commercial Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Crown Office and Procurator Fiscal Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Crown Office and Procurator Fiscal Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Crown Prosecution Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Crown Prosecution Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Crown Prosecution Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Crown Prosecution Service","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Defence Equipment and Support","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Defence Equipment and Support","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Defence Equipment and Support","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Defence Equipment and Support","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Defence Science and Technology Laboratory","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Defence Science and Technology Laboratory","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Defence Science and Technology Laboratory","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Defence Science and Technology Laboratory","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Digital, Culture, Media and Sport","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Digital, Culture, Media and Sport","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for International Trade","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for International Trade","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care (excl. agencies)","20-29","40","40","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Driver and Vehicle Licensing Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Driver and Vehicle Licensing Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Driver and Vehicle Licensing Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Driver and Vehicle Standards Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Driver and Vehicle Standards Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Education and Skills Funding Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Forestry and Land Scotland","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Forestry and Land Scotland","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Forestry and Land Scotland","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Forestry and Land Scotland","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Actuary's Department","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Actuary's Department","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Actuary's Department","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Internal Audit Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Legal Department","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Legal Department","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Legal Department","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Legal Department","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Property Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Government Property Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Health and Safety Executive","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Health and Safety Executive","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Health and Safety Executive","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Health and Safety Executive","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Courts and Tribunals Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Land Registry","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Land Registry","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Prison and Probation Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Prison and Probation Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Revenue and Customs (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Revenue and Customs (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Revenue and Customs (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Revenue and Customs (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Revenue and Customs (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
