"Status","Year","Profession_of_post","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data and Technology","HM Courts and Tribunals Service","Digital, Data & Technology","110","110","35710","30990"
"In post","2021","Digital, Data and Technology","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Land Registry","Digital, Data & Technology","670","640","38030","38450"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","1930","1850","39680","38630"
"In post","2021","Digital, Data and Technology","HM Treasury (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Home Office (incl. agencies)","Unknown","1220","1200","50060","45550"
"In post","2021","Digital, Data and Technology","Insolvency Service","Digital, Data & Technology","50","50","42440","41060"
"In post","2021","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal Aid Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal Aid Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Maritime and Coastguard Agency","Digital, Data & Technology","110","100","38370","34040"
"In post","2021","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","70","70","46880","41040"
"In post","2021","Digital, Data and Technology","Met Office","Digital, Data & Technology","350","340","37300","34170"
"In post","2021","Digital, Data and Technology","Ministry of Defence (excl. agencies)","Digital, Data & Technology","700","680","32410","29670"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data & Technology","70","70","50630","53130"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","Digital, Data & Technology","850","840","48340","47050"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","National Crime Agency","Digital, Data & Technology","260","250","41070","37750"
"In post","2021","Digital, Data and Technology","National Savings and Investments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","National Savings and Investments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","80","80","45050","39850"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","Digital, Data & Technology","60","60","51940","50000"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","No function","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of the Public Guardian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Planning Inspectorate","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Public Health England","Digital, Data & Technology","110","110","45230","42180"
"In post","2021","Digital, Data and Technology","Public Health England","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Queen Elizabeth II Centre","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Registers of Scotland","Digital, Data & Technology","70","60","42130","36780"
"In post","2021","Digital, Data and Technology","Scottish Courts and Tribunals Service","Digital, Data & Technology","60","60","34360","29350"
"In post","2021","Digital, Data and Technology","Scottish Prison Service","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Serious Fraud Office","Digital, Data & Technology","50","50","41680","39270"
"In post","2021","Digital, Data and Technology","Standards and Testing Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Submarine Delivery Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","The National Archives","Digital, Data & Technology","100","100","40050","39000"
"In post","2021","Digital, Data and Technology","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Hydrographic Office","Digital, Data & Technology","190","190","38770","35340"
"In post","2021","Digital, Data and Technology","UK Intellectual Property Office","Digital, Data & Technology","190","190","44760","42860"
"In post","2021","Digital, Data and Technology","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","United Kingdom Statistics Authority","Digital, Data & Technology","600","590","40840","36840"
"In post","2021","Digital, Data and Technology","Valuation Office Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Vehicle Certification Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Veterinary Medicines Directorate","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Welsh Government (excl. agencies)","Unknown","210","210","37690","37410"
"In post","2021","Digital, Data and Technology","Welsh Revenue Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Welsh Revenue Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wilton Park","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Competition and Markets Authority","Analysis","90","90","62530","59510"
"In post","2021","Economics","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","200","200","40840","34400"
"In post","2021","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","100","100","57750","57850"
"In post","2021","Economics","Department for Digital, Culture, Media and Sport","Analysis","80","70","53810","59730"
"In post","2021","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","160","160","44720","47550"
"In post","2021","Economics","Department for International Trade","Analysis","150","150","43340","32330"
"In post","2021","Economics","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department for Transport (excl. agencies)","Analysis","170","170","47750","54110"
"In post","2021","Economics","Department of Health and Social Care (excl. agencies)","Finance","90","90","43100","36820"
"In post","2021","Economics","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","No function","70","70","45280","41980"
"In post","2021","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","110","100","54610","55620"
"In post","2021","Economics","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Revenue and Customs (excl. agencies)","Analysis","100","100","45640","36160"
"In post","2021","Economics","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Revenue and Customs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Treasury (excl. agencies)","Analysis","90","80","48050","52530"
"In post","2021","Economics","HM Treasury (excl. agencies)","No function","70","70","40460","33290"
"In post","2021","Economics","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Home Office (incl. agencies)","Unknown","110","110","46610","35070"
"In post","2021","Economics","Ministry of Defence (excl. agencies)","Analysis","30","30","[c]","[c]"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","80","70","43680","35060"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Ministry of Justice (excl. agencies)","Analysis","50","40","[c]","[c]"
