"Status","Year","Ethnicity","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","White","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Planning Inspectorate","40","40","[c]","[c]"
"In post","2022","White","20-29","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Registers of Scotland","110","110","28610","28710"
"In post","2022","White","20-29","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Rural Payments Agency","150","150","22990","21300"
"In post","2022","White","20-29","Scottish Courts and Tribunals Service","100","100","24660","22000"
"In post","2022","White","20-29","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Scottish Government (excl. agencies)","1100","1090","31860","31540"
"In post","2022","White","20-29","Scottish Prison Service","110","110","28420","27020"
"In post","2022","White","20-29","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Serious Fraud Office","30","30","[c]","[c]"
"In post","2022","White","20-29","Social Security Scotland","350","340","26740","27230"
"In post","2022","White","20-29","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Submarine Delivery Agency","370","370","28710","27570"
"In post","2022","White","20-29","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","The Insolvency Service","70","70","25400","21130"
"In post","2022","White","20-29","The National Archives","60","60","26910","24400"
"In post","2022","White","20-29","Transport Scotland","50","50","[c]","[c]"
"In post","2022","White","20-29","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","UK Export Finance","60","60","37830","33430"
"In post","2022","White","20-29","UK Health Security Agency","790","760","29110","28380"
"In post","2022","White","20-29","UK Hydrographic Office","90","90","27470","26740"
"In post","2022","White","20-29","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","UK Statistics Authority","890","870","31270","30710"
"In post","2022","White","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Valuation Office Agency","320","310","28810","26030"
"In post","2022","White","20-29","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Welsh Government (excl. agencies)","470","460","28640","25860"
"In post","2022","White","20-29","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Advisory, Conciliation and Arbitration Service","150","140","31330","30950"
"In post","2022","White","30-39","Animal and Plant Health Agency","440","420","29300","28170"
"In post","2022","White","30-39","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Cabinet Office (excl. agencies)","1330","1300","48390","52810"
"In post","2022","White","30-39","Centre for Environment, Fisheries and Aquaculture Science","150","140","33050","30220"
"In post","2022","White","30-39","Charity Commission","70","70","33320","29160"
"In post","2022","White","30-39","Companies House","190","180","31200","25460"
"In post","2022","White","30-39","Competition and Markets Authority","210","200","63410","59870"
"In post","2022","White","30-39","Criminal Injuries Compensation Authority","60","50","28510","25120"
"In post","2022","White","30-39","Crown Commercial Service","190","190","38090","38330"
"In post","2022","White","30-39","Crown Office and Procurator Fiscal Service","540","520","38310","34600"
"In post","2022","White","30-39","Crown Prosecution Service","840","790","40330","40000"
"In post","2022","White","30-39","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Defence Equipment and Support","1870","1790","35700","34770"
"In post","2022","White","30-39","Defence Science and Technology Laboratory","810","790","40450","38070"
"In post","2022","White","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","1150","1110","52890","53380"
"In post","2022","White","30-39","Department for Digital, Culture, Media and Sport","490","480","51140","51730"
"In post","2022","White","30-39","Department for Education (excl. agencies)","1220","1160","45530","49860"
"In post","2022","White","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","1120","1080","42610","39000"
"In post","2022","White","30-39","Department for International Trade","420","420","51870","51970"
"In post","2022","White","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","630","610","48740","53130"
"In post","2022","White","30-39","Department for Transport (excl. agencies)","560","550","51440","54110"
"In post","2022","White","30-39","Department for Work and Pensions (excl. agencies)","9740","8960","27900","27570"
"In post","2022","White","30-39","Department of Health and Social Care (excl. agencies)","560","540","50470","51970"
"In post","2022","White","30-39","Disclosure Scotland","80","70","28380","25930"
"In post","2022","White","30-39","Driver and Vehicle Licensing Agency","1380","1240","25700","21840"
"In post","2022","White","30-39","Driver and Vehicle Standards Agency","370","360","29630","26780"
"In post","2022","White","30-39","Education and Skills Funding Agency","290","280","39190","36500"
"In post","2022","White","30-39","Education Scotland","30","30","[c]","[c]"
"In post","2022","White","30-39","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","FCDO Services","170","170","38230","37340"
"In post","2022","White","30-39","Food Standards Agency","270","260","37710","37350"
"In post","2022","White","30-39","Food Standards Scotland","50","40","[c]","[c]"
"In post","2022","White","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","1200","1180","48360","51500"
"In post","2022","White","30-39","Forestry and Land Scotland","210","210","30810","28980"
"In post","2022","White","30-39","Government Actuary's Department","40","40","[c]","[c]"
"In post","2022","White","30-39","Government Internal Audit Agency","30","30","[c]","[c]"
"In post","2022","White","30-39","Government Legal Department","510","490","52720","51250"
"In post","2022","White","30-39","Government Property Agency","40","40","[c]","[c]"
"In post","2022","White","30-39","Health and Safety Executive","320","310","37850","34880"
"In post","2022","White","30-39","HM Courts and Tribunals Service","1730","1540","26770","23720"
"In post","2022","White","30-39","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","HM Land Registry","710","670","30110","27130"
"In post","2022","White","30-39","HM Prison and Probation Service","10630","10170","29810","28200"
"In post","2022","White","30-39","HM Revenue and Customs (excl. agencies)","8830","8450","34650","33080"
"In post","2022","White","30-39","HM Treasury (excl. agencies)","510","490","55820","57530"
"In post","2022","White","30-39","Home Office","5540","5240","32390","26200"
"In post","2022","White","30-39","Institute for Apprenticeships and Technical Education","60","60","45070","49960"
"In post","2022","White","30-39","Intellectual Property Office","280","270","37500","31790"
"In post","2022","White","30-39","Legal Aid Agency","220","200","27120","25120"
"In post","2022","White","30-39","Maritime and Coastguard Agency","230","220","36560","34730"
"In post","2022","White","30-39","Medicines and Healthcare Products Regulatory Agency","170","170","46930","41130"
"In post","2022","White","30-39","Met Office","490","470","37830","38200"
"In post","2022","White","30-39","Ministry of Defence (excl. agencies)","4690","4510","34340","33000"
"In post","2022","White","30-39","Ministry of Justice (excl. agencies)","930","900","44680","41750"
"In post","2022","White","30-39","National Crime Agency","1020","1000","38610","36740"
"In post","2022","White","30-39","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","National Records of Scotland","70","60","37190","36130"
"In post","2022","White","30-39","National Savings and Investments","30","30","[c]","[c]"
"In post","2022","White","30-39","Northern Ireland Office","40","40","[c]","[c]"
"In post","2022","White","30-39","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Office for Standards in Education, Children's Services and Skills","330","320","43840","39850"
"In post","2022","White","30-39","Office of Gas and Electricity Markets","330","330","44210","42410"
"In post","2022","White","30-39","Office of Qualifications and Examinations Regulation","70","60","43070","39540"
"In post","2022","White","30-39","Office of Rail and Road","60","60","52350","51310"
"In post","2022","White","30-39","Office of the Public Guardian","150","140","25570","25120"
"In post","2022","White","30-39","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Planning Inspectorate","110","100","39310","40720"
"In post","2022","White","30-39","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Registers of Scotland","190","180","34210","30840"
"In post","2022","White","30-39","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Rural Payments Agency","240","210","26190","24920"
"In post","2022","White","30-39","Scottish Courts and Tribunals Service","110","100","29380","27080"
"In post","2022","White","30-39","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Scottish Forestry","40","40","[c]","[c]"
"In post","2022","White","30-39","Scottish Government (excl. agencies)","1670","1610","42690","39660"
"In post","2022","White","30-39","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Scottish Prison Service","370","360","32760","35000"
"In post","2022","White","30-39","Scottish Public Pensions Agency","50","50","31110","28990"
"In post","2022","White","30-39","Serious Fraud Office","70","70","45140","40980"
"In post","2022","White","30-39","Social Security Scotland","480","460","31340","27940"
"In post","2022","White","30-39","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2022","White","30-39","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Submarine Delivery Agency","370","360","39030","39100"
"In post","2022","White","30-39","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","The Insolvency Service","160","160","31470","30630"
"In post","2022","White","30-39","The National Archives","70","70","33200","31500"
"In post","2022","White","30-39","Transport Scotland","90","80","42480","39660"
"In post","2022","White","30-39","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","UK Export Finance","70","60","55590","52900"
"In post","2022","White","30-39","UK Health Security Agency","850","790","39730","37450"
"In post","2022","White","30-39","UK Hydrographic Office","160","160","34660","33290"
"In post","2022","White","30-39","UK Space Agency","60","60","44440","40220"
"In post","2022","White","30-39","UK Statistics Authority","1040","970","37200","36840"
"In post","2022","White","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Valuation Office Agency","450","430","35660","32890"
"In post","2022","White","30-39","Vehicle Certification Agency","50","50","[c]","[c]"
"In post","2022","White","30-39","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Water Services Regulation Authority","40","30","[c]","[c]"
"In post","2022","White","30-39","Welsh Government (excl. agencies)","1110","1060","38300","38160"
"In post","2022","White","30-39","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","White","30-39","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","White","40-49","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","White","40-49","Advisory, Conciliation and Arbitration Service","180","170","33910","31040"
"In post","2022","White","40-49","Animal and Plant Health Agency","590","550","32550","29180"
"In post","2022","White","40-49","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","White","40-49","Cabinet Office (excl. agencies)","1020","990","55350","54700"
"In post","2022","White","40-49","Centre for Environment, Fisheries and Aquaculture Science","160","150","35070","30660"
"In post","2022","White","40-49","Charity Commission","100","100","35800","29340"
"In post","2022","White","40-49","Companies House","230","210","34110","30660"
"In post","2022","White","40-49","Competition and Markets Authority","160","150","76070","74810"
"In post","2022","White","40-49","Criminal Injuries Compensation Authority","60","50","28420","25120"
"In post","2022","White","40-49","Crown Commercial Service","150","140","43410","39360"
"In post","2022","White","40-49","Crown Office and Procurator Fiscal Service","430","400","42520","36130"
"In post","2022","White","40-49","Crown Prosecution Service","1350","1240","44500","48080"
"In post","2022","White","40-49","Defence Electronics and Components Agency","70","70","29010","28150"
"In post","2022","White","40-49","Defence Equipment and Support","1770","1710","41210","39840"
