"Status","Year","Organisation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Declared non-disabled","60","60","42420","38540"
"In post","2021","Department for International Trade","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Unknown","70","70","42970","38140"
"In post","2021","Department for International Trade","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","Unknown","60","60","48390","51970"
"In post","2021","Department for International Trade","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","Declared non-disabled","80","70","45810","51970"
"In post","2021","Department for International Trade","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","Unknown","70","70","40490","31800"
"In post","2021","Department for International Trade","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","Declared non-disabled","60","60","52190","51970"
"In post","2021","Department for International Trade","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","Declared non-disabled","80","80","44320","38540"
"In post","2021","Department for International Trade","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Declared disabled","90","90","46700","48680"
"In post","2021","Department for International Trade","International Trade","Declared non-disabled","680","670","49470","51740"
"In post","2021","Department for International Trade","International Trade","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","Unknown","500","490","46790","40220"
"In post","2021","Department for International Trade","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","Declared non-disabled","70","60","36420","32120"
"In post","2021","Department for International Trade","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","Declared non-disabled","80","80","40870","34260"
"In post","2021","Department for International Trade","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","Unknown","80","80","38740","32120"
"In post","2021","Department for International Trade","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","Declared non-disabled","120","120","46430","39440"
"In post","2021","Department for International Trade","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","Unknown","80","80","44830","38540"
"In post","2021","Department for International Trade","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","Declared non-disabled","70","60","51770","54110"
"In post","2021","Department for Transport (excl. agencies)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","Declared non-disabled","70","70","47980","44030"
"In post","2021","Department for Transport (excl. agencies)","Communications","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","Declared non-disabled","80","80","42730","41500"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Economics","Declared non-disabled","120","110","49040","54110"
"In post","2021","Department for Transport (excl. agencies)","Economics","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
