"Status","Year","Parent_department","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","FCDO Services","50","50","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","HM Land Registry","1850","1750","22470","22350"
"In post","2021","HM Land Registry","EO","HM Land Registry","2150","1880","27500","27130"
"In post","2021","HM Land Registry","G6/G7","HM Land Registry","300","280","62580","60520"
"In post","2021","HM Land Registry","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","HM Land Registry","2030","1820","37410","33840"
"In post","2021","HM Revenue and Customs","AA/AO","HM Revenue and Customs (excl. agencies)","20760","17970","20740","20140"
"In post","2021","HM Revenue and Customs","AA/AO","Valuation Office Agency","850","760","21280","21100"
"In post","2021","HM Revenue and Customs","EO","HM Revenue and Customs (excl. agencies)","14680","13560","26410","25560"
"In post","2021","HM Revenue and Customs","EO","Valuation Office Agency","960","880","26890","26000"
"In post","2021","HM Revenue and Customs","G6/G7","HM Revenue and Customs (excl. agencies)","7310","7030","57220","52770"
"In post","2021","HM Revenue and Customs","G6/G7","Valuation Office Agency","400","380","58660","56000"
"In post","2021","HM Revenue and Customs","SCS","HM Revenue and Customs (excl. agencies)","480","470","85630","78760"
"In post","2021","HM Revenue and Customs","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","SEO/HEO","HM Revenue and Customs (excl. agencies)","19720","18780","34730","31940"
"In post","2021","HM Revenue and Customs","SEO/HEO","Valuation Office Agency","1320","1240","38300","37750"
"In post","2021","HM Treasury","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","AA/AO","HM Treasury (excl. agencies)","60","60","22280","22500"
"In post","2021","HM Treasury","AA/AO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","EO","HM Treasury (excl. agencies)","210","210","26870","26750"
"In post","2021","HM Treasury","EO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","EO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","G6/G7","Debt Management Office","60","60","71740","67260"
"In post","2021","HM Treasury","G6/G7","Government Internal Audit Agency","170","160","57550","56120"
"In post","2021","HM Treasury","G6/G7","HM Treasury (excl. agencies)","860","840","58460","56030"
"In post","2021","HM Treasury","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","SCS","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","SCS","HM Treasury (excl. agencies)","150","150","83900","77000"
"In post","2021","HM Treasury","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","SEO/HEO","Debt Management Office","50","40","[c]","[c]"
"In post","2021","HM Treasury","SEO/HEO","Government Internal Audit Agency","250","240","40630","39980"
"In post","2021","HM Treasury","SEO/HEO","HM Treasury (excl. agencies)","740","730","34390","32320"
"In post","2021","HM Treasury","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","AA/AO","Home Office (incl. agencies)","8330","7380","21990","21430"
"In post","2021","Home Office","EO","Home Office (incl. agencies)","14370","13180","26950","26070"
"In post","2021","Home Office","G6/G7","Home Office (incl. agencies)","3370","3290","60820","57680"
"In post","2021","Home Office","SCS","Home Office (incl. agencies)","290","280","91800","83790"
"In post","2021","Home Office","SEO/HEO","Home Office (incl. agencies)","8780","8490","36640","35200"
"In post","2021","Home Office","Unknown","Home Office (incl. agencies)","250","250","[c]","[c]"
"In post","2021","Ministry of Defence","AA/AO","Defence Electronics and Components Agency","90","90","19970","21000"
"In post","2021","Ministry of Defence","AA/AO","Defence Science and Technology Laboratory","130","130","18780","17710"
"In post","2021","Ministry of Defence","AA/AO","Ministry of Defence (excl. agencies)","15610","15000","22870","20920"
"In post","2021","Ministry of Defence","AA/AO","UK Hydrographic Office","80","80","20360","20170"
"In post","2021","Ministry of Defence","EO","Defence Electronics and Components Agency","260","250","28000","28750"
"In post","2021","Ministry of Defence","EO","Defence Equipment and Support","2610","2500","22250","21320"
