"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Property","730","700","18560","17980"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Security","5020","4930","27010","21770"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Unknown","8240","7870","21030","20920"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","No function","180","170","21460","21770"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","No function","250","230","23950","24220"
"In post","2021","AA/AO","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Infrastructure Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Records of Scotland","Unknown","160","140","22560","22230"
"In post","2021","AA/AO","National Savings and Investments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Savings and Investments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Savings and Investments","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","No function","200","180","21240","21160"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","No function","50","50","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of the Public Guardian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of the Public Guardian","No function","850","770","19750","19930"
"In post","2021","AA/AO","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning Inspectorate","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning Inspectorate","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning Inspectorate","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning Inspectorate","No function","160","150","21530","21270"
"In post","2021","AA/AO","Public Health England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Public Health England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Public Health England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Public Health England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Public Health England","No function","870","760","21150","20170"
"In post","2021","AA/AO","Public Health England","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Queen Elizabeth II Centre","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Queen Elizabeth II Centre","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","No function","340","320","24000","24130"
"In post","2021","AA/AO","Registers of Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Rural Payments Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Rural Payments Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Rural Payments Agency","Grants Management","950","860","21010","21050"
"In post","2021","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Legal","900","780","21680","22820"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Forestry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Forestry","Project Delivery","40","40","[c]","[c]"
"In post","2021","AA/AO","Scottish Forestry","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government (excl. agencies)","Unknown","920","880","23730","23340"
"In post","2021","AA/AO","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Commercial","50","50","23640","25870"
"In post","2021","AA/AO","Scottish Prison Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Finance","40","40","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Human Resources","40","40","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","No function","1230","1160","23540","24450"
"In post","2021","AA/AO","Scottish Prison Service","Property","170","170","25520","27450"
"In post","2021","AA/AO","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Public Pensions Agency","Unknown","140","120","24020","24110"
"In post","2021","AA/AO","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Serious Fraud Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Serious Fraud Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Serious Fraud Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Security Scotland","Unknown","400","380","21090","20060"
"In post","2021","AA/AO","Student Awards Agency for Scotland","Unknown","120","110","21800","22230"
"In post","2021","AA/AO","Teaching Regulation Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","No function","60","60","20970","20650"
"In post","2021","AA/AO","Transport Scotland","Unknown","60","60","22880","22230"
"In post","2021","AA/AO","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Hydrographic Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Hydrographic Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Hydrographic Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Hydrographic Office","No function","70","70","20360","20170"
"In post","2021","AA/AO","UK Hydrographic Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Intellectual Property Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Intellectual Property Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Intellectual Property Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Intellectual Property Office","No function","160","150","20840","21140"
"In post","2021","AA/AO","UK Intellectual Property Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Space Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Analysis","60","60","19490","19130"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","No function","1380","960","19640","19520"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Valuation Office Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Valuation Office Agency","Property","840","760","21270","21100"
"In post","2021","AA/AO","Vehicle Certification Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Vehicle Certification Agency","No function","40","40","[c]","[c]"
"In post","2021","AA/AO","Vehicle Certification Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinary Medicines Directorate","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government (excl. agencies)","Unknown","960","880","23350","23830"
"In post","2021","AA/AO","Welsh Revenue Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wilton Park","Commercial","[c]","[c]","[c]","[c]"
