"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Public Health England","70","60","109860","103660"
"In post","2021","Asian","SCS","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Cabinet Office (excl. agencies)","180","170","36950","35590"
"In post","2021","Asian","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Crown Prosecution Service","90","80","37230","38180"
"In post","2021","Asian","SEO/HEO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Defence Equipment and Support","190","190","35350","33780"
"In post","2021","Asian","SEO/HEO","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","220","210","37200","35750"
"In post","2021","Asian","SEO/HEO","Department for Digital, Culture, Media and Sport","50","50","37640","35090"
"In post","2021","Asian","SEO/HEO","Department for Education (excl. agencies)","230","230","35950","36500"
"In post","2021","Asian","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","35590","35370"
"In post","2021","Asian","SEO/HEO","Department for International Trade","100","100","35430","35560"
"In post","2021","Asian","SEO/HEO","Department for Transport (excl. agencies)","140","140","38130","35980"
"In post","2021","Asian","SEO/HEO","Department for Work and Pensions (excl. agencies)","500","480","36160","36650"
"In post","2021","Asian","SEO/HEO","Department of Health and Social Care (excl. agencies)","80","80","35520","33790"
"In post","2021","Asian","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Education and Skills Funding Agency","120","120","35390","36780"
"In post","2021","Asian","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","150","150","37340","37040"
"In post","2021","Asian","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Government Internal Audit Agency","30","30","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Government Legal Department","30","30","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Asian","SEO/HEO","HM Courts and Tribunals Service","270","260","34550","33530"
"In post","2021","Asian","SEO/HEO","HM Land Registry","50","50","37960","37290"
"In post","2021","Asian","SEO/HEO","HM Prison and Probation Service","280","250","40560","38160"
"In post","2021","Asian","SEO/HEO","HM Revenue and Customs (excl. agencies)","1410","1370","35030","33850"
"In post","2021","Asian","SEO/HEO","HM Treasury (excl. agencies)","80","80","35240","32960"
"In post","2021","Asian","SEO/HEO","Home Office (incl. agencies)","1090","1050","37700","35320"
"In post","2021","Asian","SEO/HEO","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Maritime and Coastguard Agency","30","30","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","120","120","37020","34330"
"In post","2021","Asian","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Ministry of Defence (excl. agencies)","320","310","39830","39660"
"In post","2021","Asian","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","100","100","35610","34640"
"In post","2021","Asian","SEO/HEO","Ministry of Justice (excl. agencies)","230","220","36370","35190"
"In post","2021","Asian","SEO/HEO","National Crime Agency","80","80","43640","41910"
"In post","2021","Asian","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Public Health England","280","270","36030","35300"
"In post","2021","Asian","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scottish Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
