"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Male","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Ministry of Justice","AA/AO","2120","1970","20340","19930"
"Leaver CS","2021","Male","Ministry of Justice","EO","250","240","24860","26410"
"Leaver CS","2021","Male","Ministry of Justice","G6/G7","80","80","63090","59690"
"Leaver CS","2021","Male","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Ministry of Justice","SEO/HEO","260","230","35570","32800"
"Leaver CS","2021","Male","Ministry of Justice","Unknown","170","150","[c]","[c]"
"Leaver CS","2021","Male","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","National Crime Agency","EO","40","40","[c]","[c]"
"Leaver CS","2021","Male","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","National Crime Agency","SEO/HEO","60","50","45520","44830"
"Leaver CS","2021","Male","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Scotland Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Scottish Government","AA/AO","160","150","22680","21870"
"Leaver CS","2021","Male","Scottish Government","EO","150","130","31180","33650"
"Leaver CS","2021","Male","Scottish Government","G6/G7","60","50","63790","61010"
"Leaver CS","2021","Male","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Scottish Government","SEO/HEO","140","130","40150","39500"
"Leaver CS","2021","Male","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","The National Archives","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","The National Archives","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","United Kingdom Statistics Authority","AA/AO","90","70","19520","19130"
"Leaver CS","2021","Male","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","United Kingdom Statistics Authority","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","Male","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Education","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Attorney General's Departments","AA/AO","110","100","22220","22200"
"Leaver CS","2022","Female","Attorney General's Departments","EO","60","60","27860","27350"
"Leaver CS","2022","Female","Attorney General's Departments","G6/G7","170","150","58190","55610"
"Leaver CS","2022","Female","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Attorney General's Departments","SEO/HEO","60","50","36910","38000"
"Leaver CS","2022","Female","Cabinet Office","AA/AO","40","40","[c]","[c]"
"Leaver CS","2022","Female","Cabinet Office","EO","40","40","[c]","[c]"
"Leaver CS","2022","Female","Cabinet Office","G6/G7","130","130","61340","59250"
"Leaver CS","2022","Female","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cabinet Office","SEO/HEO","140","130","35240","34640"
"Leaver CS","2022","Female","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Business, Energy and Industrial Strategy","AA/AO","70","60","21610","21130"
"Leaver CS","2022","Female","Department for Business, Energy and Industrial Strategy","EO","70","60","26440","26630"
"Leaver CS","2022","Female","Department for Business, Energy and Industrial Strategy","G6/G7","70","70","56520","53600"
"Leaver CS","2022","Female","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Business, Energy and Industrial Strategy","SEO/HEO","140","120","36270","36240"
"Leaver CS","2022","Female","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Digital, Culture, Media and Sport","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2022","Female","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Education","EO","70","70","26690","25000"
"Leaver CS","2022","Female","Department for Education","G6/G7","60","60","57750","55860"
"Leaver CS","2022","Female","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Education","SEO/HEO","80","80","36430","36500"
"Leaver CS","2022","Female","Department for Environment, Food and Rural Affairs","AA/AO","140","130","21800","21300"
"Leaver CS","2022","Female","Department for Environment, Food and Rural Affairs","EO","90","80","25690","25190"
"Leaver CS","2022","Female","Department for Environment, Food and Rural Affairs","G6/G7","60","50","[c]","[c]"
"Leaver CS","2022","Female","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Environment, Food and Rural Affairs","SEO/HEO","200","190","35300","35900"
"Leaver CS","2022","Female","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for International Trade","EO","40","40","[c]","[c]"
"Leaver CS","2022","Female","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Levelling Up, Housing and Communities","G6/G7","40","30","[c]","[c]"
"Leaver CS","2022","Female","Department for Levelling Up, Housing and Communities","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Levelling Up, Housing and Communities","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Female","Department for Transport","AA/AO","290","220","21110","21840"
"Leaver CS","2022","Female","Department for Transport","EO","110","90","27360","26780"
"Leaver CS","2022","Female","Department for Transport","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Female","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Transport","SEO/HEO","110","100","37160","35060"
"Leaver CS","2022","Female","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Work and Pensions","AA/AO","2040","1680","21360","21260"
"Leaver CS","2022","Female","Department for Work and Pensions","EO","2930","2510","28210","27570"
"Leaver CS","2022","Female","Department for Work and Pensions","G6/G7","100","90","57420","54660"
"Leaver CS","2022","Female","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Department for Work and Pensions","SEO/HEO","380","330","36080","34290"
"Leaver CS","2022","Female","Department of Health and Social Care","AA/AO","200","180","21110","20010"
"Leaver CS","2022","Female","Department of Health and Social Care","EO","390","300","25670","25170"
"Leaver CS","2022","Female","Department of Health and Social Care","G6/G7","560","430","57150","53360"
"Leaver CS","2022","Female","Department of Health and Social Care","SCS","120","90","98260","95140"
"Leaver CS","2022","Female","Department of Health and Social Care","SEO/HEO","880","680","36440","36690"
"Leaver CS","2022","Female","Department of Health and Social Care","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Female","Estyn","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Estyn","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","AA/AO","40","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","G6/G7","50","30","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","SEO/HEO","40","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","AA/AO","70","60","22880","22600"
"Leaver CS","2022","Female","HM Land Registry","EO","80","60","27670","27130"
"Leaver CS","2022","Female","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Land Registry","SEO/HEO","70","50","37330","33840"
"Leaver CS","2022","Female","HM Revenue and Customs","AA/AO","1730","1370","21780","22010"
"Leaver CS","2022","Female","HM Revenue and Customs","EO","510","400","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","G6/G7","120","110","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","HM Revenue and Customs","SEO/HEO","390","330","[c]","[c]"
