"Status","Year","Profession_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Operational Research","Ministry of Defence","LGBO","30","30","[c]","[c]"
"In post","2021","Operational Research","Ministry of Defence","Undeclared","50","50","44180","46080"
"In post","2021","Operational Research","Ministry of Defence","Unknown","60","50","44120","46090"
"In post","2021","Operational Research","Ministry of Housing, Communities and Local Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Ministry of Justice","Heterosexual / straight","60","60","46520","40740"
"In post","2021","Operational Research","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Attorney General's Departments","Heterosexual / straight","290","280","32490","27580"
"In post","2021","Other","Attorney General's Departments","LGBO","30","30","[c]","[c]"
"In post","2021","Other","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Attorney General's Departments","Unknown","100","90","33190","28660"
"In post","2021","Other","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Chancellor's other departments","Heterosexual / straight","200","190","65190","57250"
"In post","2021","Other","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Chancellor's other departments","Undeclared","60","60","61740","48780"
"In post","2021","Other","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Digital, Culture, Media and Sport","Heterosexual / straight","70","60","40990","34330"
"In post","2021","Other","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for International Trade","Heterosexual / straight","90","90","39430","33420"
"In post","2021","Other","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for International Trade","Unknown","70","70","40030","32120"
"In post","2021","Other","Department for Transport","Heterosexual / straight","310","290","43170","31860"
"In post","2021","Other","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Transport","Undeclared","50","50","49560","37660"
"In post","2021","Other","Department for Transport","Unknown","140","130","37510","32740"
"In post","2021","Other","Department of Health and Social Care","Heterosexual / straight","170","170","48210","41040"
"In post","2021","Other","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department of Health and Social Care","Undeclared","40","40","[c]","[c]"
"In post","2021","Other","Department of Health and Social Care","Unknown","80","80","51300","44990"
"In post","2021","Other","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office","Heterosexual / straight","180","180","67210","70410"
"In post","2021","Other","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office","Unknown","90","80","61750","63570"
"In post","2021","Other","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Revenue and Customs","Heterosexual / straight","290","260","43900","38630"
"In post","2021","Other","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Revenue and Customs","Undeclared","50","50","44030","38630"
"In post","2021","Other","HM Revenue and Customs","Unknown","120","110","35910","31810"
"In post","2021","Other","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Home Office","Heterosexual / straight","1350","1250","34710","30870"
"In post","2021","Other","Home Office","LGBO","80","70","35150","30830"
"In post","2021","Other","Home Office","Undeclared","180","170","37400","35050"
"In post","2021","Other","Home Office","Unknown","190","180","33670","28650"
"In post","2021","Other","Ministry of Defence","Heterosexual / straight","10940","10520","26610","22080"
"In post","2021","Other","Ministry of Defence","LGBO","300","300","25500","21580"
"In post","2021","Other","Ministry of Defence","Undeclared","1590","1530","27250","22870"
"In post","2021","Other","Ministry of Defence","Unknown","3010","2960","34720","32700"
"In post","2021","Other","Ministry of Justice","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Other","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office for Standards in Education","Heterosexual / straight","200","190","29240","25880"
"In post","2021","Other","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office of Gas and Electricity Markets","Heterosexual / straight","240","240","40720","35000"
"In post","2021","Other","Office of Gas and Electricity Markets","LGBO","40","30","[c]","[c]"
"In post","2021","Other","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office of Gas and Electricity Markets","Unknown","230","230","50360","46160"
"In post","2021","Other","Other Cabinet Office Agencies","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Other","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Scottish Government","Heterosexual / straight","220","200","33860","33650"
"In post","2021","Other","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Scottish Government","Unknown","430","390","30480","28280"
"In post","2021","Other","The National Archives","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Other","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","The National Archives","Unknown","40","40","[c]","[c]"
"In post","2021","Other","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Welsh Government","Heterosexual / straight","510","480","42920","37410"
"In post","2021","Other","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Welsh Government","Undeclared","80","70","40710","37410"
"In post","2021","Other","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Ministry of Housing, Communities and Local Government","Heterosexual / straight","100","100","48280","42140"
