"Status","Year","Function_of_post","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Finance","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Scottish Government","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Department for Environment, Food and Rural Affairs","Rural Payments Agency","50","40","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Cabinet Office","Cabinet Office (excl. agencies)","180","170","37720","32910"
"Leaver Dept.","2021","Human Resources","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Transport","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Transport","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department of Health and Social Care","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Foreign, Commonwealth and Development Office","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Revenue and Customs","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Housing, Communities and Local Government","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Justice","Ministry of Justice (excl. agencies)","70","70","42620","36800"
"Leaver Dept.","2021","Human Resources","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Scottish Government","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Ministry of Defence","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Attorney General's Departments","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Attorney General's Departments","Crown Prosecution Service","60","60","36100","27440"
"Leaver Dept.","2021","Legal","Attorney General's Departments","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Attorney General's Departments","Government Legal Department","70","70","48180","51250"
"Leaver Dept.","2021","Legal","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Cabinet Office","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Defence","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Government","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Government","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Cabinet Office","Cabinet Office (excl. agencies)","970","970","39160","32000"
"Leaver Dept.","2021","No function","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","380","350","46950","40220"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy","Insolvency Service","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","160","160","46530","49600"
"Leaver Dept.","2021","No function","Department for Education","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Education","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","50","50","22740","21050"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","340","340","41080","36500"
"Leaver Dept.","2021","No function","Department for International Trade","Department for International Trade","200","200","44250","38540"
"Leaver Dept.","2021","No function","Department for Transport","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Transport","Driver and Vehicle Licensing Agency","60","60","22320","21170"
"Leaver Dept.","2021","No function","Department for Transport","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Transport","Maritime and Coastguard Agency","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department of Health and Social Care","Public Health England","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","HM Treasury","HM Treasury (excl. agencies)","100","100","[c]","[c]"
"Leaver Dept.","2021","No function","HM Treasury","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Defence","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","250","240","40700","33960"
"Leaver Dept.","2021","No function","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Justice","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Justice","HM Courts and Tribunals Service","310","290","23200","20470"
"Leaver Dept.","2021","No function","Ministry of Justice","HM Prison and Probation Service","380","370","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Justice","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Ministry of Justice","Ministry of Justice (excl. agencies)","160","160","39660","36800"
"Leaver Dept.","2021","No function","Ministry of Justice","Office of the Public Guardian","90","80","22200","21170"
