"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Scotland","Food Standards Scotland","140","130","35960","31690"
"In post","2021","Heterosexual / straight","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","600","580","41820","38600"
"In post","2021","Heterosexual / straight","Scotland","Forestry and Land Scotland","220","210","34730","34140"
"In post","2021","Heterosexual / straight","Scotland","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Health and Safety Executive","150","140","61830","56070"
"In post","2021","Heterosexual / straight","Scotland","HM Courts and Tribunals Service","170","150","22790","20650"
"In post","2021","Heterosexual / straight","Scotland","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","HM Revenue and Customs (excl. agencies)","4200","3780","28470","25560"
"In post","2021","Heterosexual / straight","Scotland","Home Office (incl. agencies)","830","760","27040","25040"
"In post","2021","Heterosexual / straight","Scotland","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Maritime and Coastguard Agency","130","120","37800","35040"
"In post","2021","Heterosexual / straight","Scotland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Ministry of Defence (excl. agencies)","2650","2560","28900","23540"
"In post","2021","Heterosexual / straight","Scotland","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","National Records of Scotland","200","190","37510","35110"
"In post","2021","Heterosexual / straight","Scotland","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Office of Gas and Electricity Markets","210","210","36070","31720"
"In post","2021","Heterosexual / straight","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Office of the Scottish Charity Regulator","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Registers of Scotland","630","610","33590","30080"
"In post","2021","Heterosexual / straight","Scotland","Revenue Scotland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Scottish Courts and Tribunals Service","110","100","33470","29350"
"In post","2021","Heterosexual / straight","Scotland","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Scottish Forestry","60","60","38950","35680"
"In post","2021","Heterosexual / straight","Scotland","Scottish Government (excl. agencies)","5080","4870","43680","39660"
"In post","2021","Heterosexual / straight","Scotland","Scottish Housing Regulator","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Scottish Prison Service","1540","1440","33860","33650"
"In post","2021","Heterosexual / straight","Scotland","Scottish Public Pensions Agency","150","140","30150","26160"
"In post","2021","Heterosexual / straight","Scotland","Social Security Scotland","810","790","32110","27150"
"In post","2021","Heterosexual / straight","Scotland","Student Awards Agency for Scotland","70","70","33150","29190"
"In post","2021","Heterosexual / straight","Scotland","Submarine Delivery Agency","80","80","40150","41080"
"In post","2021","Heterosexual / straight","Scotland","Transport Scotland","330","320","45090","42190"
"In post","2021","Heterosexual / straight","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Animal and Plant Health Agency","480","460","32740","28600"
"In post","2021","Heterosexual / straight","South East (England)","Cabinet Office (excl. agencies)","80","80","37440","33300"
"In post","2021","Heterosexual / straight","South East (England)","Crown Prosecution Service","480","450","41640","36240"
"In post","2021","Heterosexual / straight","South East (England)","Defence Equipment and Support","360","350","30310","28060"
"In post","2021","Heterosexual / straight","South East (England)","Defence Science and Technology Laboratory","1180","1130","40890","39000"
"In post","2021","Heterosexual / straight","South East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","240","230","42510","38750"
"In post","2021","Heterosexual / straight","South East (England)","Department for International Trade","100","90","45720","51790"
"In post","2021","Heterosexual / straight","South East (England)","Department for Transport (excl. agencies)","160","150","47620","39470"
"In post","2021","Heterosexual / straight","South East (England)","Department for Work and Pensions (excl. agencies)","4460","4060","27520","27570"
"In post","2021","Heterosexual / straight","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Driver and Vehicle Standards Agency","290","270","30480","28330"
"In post","2021","Heterosexual / straight","South East (England)","FCDO Services","610","580","38800","34280"
"In post","2021","Heterosexual / straight","South East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","230","220","31320","27080"
"In post","2021","Heterosexual / straight","South East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Health and Safety Executive","60","60","41840","41810"
"In post","2021","Heterosexual / straight","South East (England)","HM Courts and Tribunals Service","980","850","24250","21170"
"In post","2021","Heterosexual / straight","South East (England)","HM Prison and Probation Service","5470","5200","30610","30400"
"In post","2021","Heterosexual / straight","South East (England)","HM Revenue and Customs (excl. agencies)","1190","1080","30900","28130"
"In post","2021","Heterosexual / straight","South East (England)","Home Office (incl. agencies)","2830","2570","27730","25990"
"In post","2021","Heterosexual / straight","South East (England)","Insolvency Service","60","60","29780","26290"
"In post","2021","Heterosexual / straight","South East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Maritime and Coastguard Agency","520","500","37890","33540"
"In post","2021","Heterosexual / straight","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Ministry of Defence (excl. agencies)","6260","6070","32220","29670"
"In post","2021","Heterosexual / straight","South East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Ministry of Justice (excl. agencies)","80","80","40500","36840"
"In post","2021","Heterosexual / straight","South East (England)","National Crime Agency","320","310","39800","39840"
"In post","2021","Heterosexual / straight","South East (England)","Public Health England","330","300","44160","39030"
"In post","2021","Heterosexual / straight","South East (England)","Rural Payments Agency","110","100","32920","29690"
"In post","2021","Heterosexual / straight","South East (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","United Kingdom Statistics Authority","1690","1380","28600","23520"
"In post","2021","Heterosexual / straight","South East (England)","Valuation Office Agency","130","120","36480","32110"
"In post","2021","Heterosexual / straight","South East (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Veterinary Medicines Directorate","120","110","42240","38750"
"In post","2021","Heterosexual / straight","South East (England)","Wilton Park","70","60","33640","28640"
"In post","2021","Heterosexual / straight","South West (England)","Advisory, Conciliation and Arbitration Service","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","South West (England)","Animal and Plant Health Agency","290","270","29150","24920"
"In post","2021","Heterosexual / straight","South West (England)","Cabinet Office (excl. agencies)","60","60","44300","38420"
