"Status","Year","Sex","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Property","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Valuation Office Agency","880","780","33990","30680"
"In post","2021","Female","Property","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","HM Prison and Probation Service","1150","1090","35180","30450"
"In post","2021","Female","Psychology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Scottish Prison Service","60","60","37340","33650"
"In post","2021","Female","Science and Engineering","Animal and Plant Health Agency","400","370","30290","28170"
"In post","2021","Female","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","210","190","30970","29270"
"In post","2021","Female","Science and Engineering","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Defence Equipment and Support","240","230","36060","33140"
"In post","2021","Female","Science and Engineering","Defence Science and Technology Laboratory","620","580","37440","37320"
"In post","2021","Female","Science and Engineering","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","90","80","41490","38750"
"In post","2021","Female","Science and Engineering","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Food Standards Agency","50","50","41370","37910"
"In post","2021","Female","Science and Engineering","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Health and Safety Executive","210","190","38210","35910"
"In post","2021","Female","Science and Engineering","Home Office (incl. agencies)","70","60","48640","41300"
"In post","2021","Female","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","190","180","47840","42050"
"In post","2021","Female","Science and Engineering","Met Office","320","300","37420","39130"
"In post","2021","Female","Science and Engineering","Ministry of Defence (excl. agencies)","220","210","37030","33300"
"In post","2021","Female","Science and Engineering","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Public Health England","1590","1430","39650","37480"
"In post","2021","Female","Science and Engineering","Submarine Delivery Agency","80","80","38810","33970"
"In post","2021","Female","Science and Engineering","UK Intellectual Property Office","80","70","47960","40940"
"In post","2021","Female","Science and Engineering","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"In post","2021","Female","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for Transport (excl. agencies)","70","70","45510","42890"
"In post","2021","Female","Security","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","Female","Security","FCDO Services","30","30","[c]","[c]"
"In post","2021","Female","Security","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","39260","35990"
"In post","2021","Female","Security","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","HM Prison and Probation Service","320","310","36770","32550"
"In post","2021","Female","Security","HM Revenue and Customs (excl. agencies)","70","60","36980","38630"
"In post","2021","Female","Security","Home Office (incl. agencies)","120","110","33630","29370"
"In post","2021","Female","Security","Ministry of Defence (excl. agencies)","890","860","27700","22650"
"In post","2021","Female","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","HM Revenue and Customs (excl. agencies)","60","50","45130","41760"
"In post","2021","Female","Social Research","Home Office (incl. agencies)","80","70","46900","43560"
"In post","2021","Female","Social Research","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Ministry of Justice (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Female","Social Research","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Office for Standards in Education, Children's Services and Skills","40","30","[c]","[c]"
"In post","2021","Female","Social Research","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","United Kingdom Statistics Authority","340","310","37320","37020"
"In post","2021","Female","Social Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Welsh Government (excl. agencies)","120","120","44820","47000"
"In post","2021","Female","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Department for Transport (excl. agencies)","60","50","45950","42890"
"In post","2021","Female","Statistics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","HM Revenue and Customs (excl. agencies)","110","100","44280","38630"
"In post","2021","Female","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Home Office (incl. agencies)","50","40","[c]","[c]"
