"Status","Year","Disability","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","No function","80","80","54320","50920"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","No function","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government","Unknown","5040","4770","42250","38160"
"In post","2022","Undeclared","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","Legal","140","130","53090","53630"
"In post","2022","Undeclared","Attorney General's Departments","No function","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Commercial","40","40","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Human Resources","60","60","35900","32000"
"In post","2022","Undeclared","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","No function","80","80","48020","40600"
"In post","2022","Undeclared","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Security","50","50","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","No function","350","340","44810","40220"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","No function","70","70","43300","37270"
"In post","2022","Undeclared","Department for Education","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Finance","50","50","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","No function","190","180","44110","40230"
"In post","2022","Undeclared","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Property","30","30","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","60","50","43030","47550"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Grants Management","50","40","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","No function","290","280","37180","34500"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Property","30","30","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","No function","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
