"Status","Year","Age","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Heterosexual / straight","The National Archives","40","40","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Transport Scotland","40","40","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","UK Export Finance","60","60","35300","33000"
"In post","2021","20-29","Heterosexual / straight","UK Hydrographic Office","80","80","28230","26740"
"In post","2021","20-29","Heterosexual / straight","UK Intellectual Property Office","130","130","29810","29890"
"In post","2021","20-29","Heterosexual / straight","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","United Kingdom Statistics Authority","670","660","30660","29540"
"In post","2021","20-29","Heterosexual / straight","Valuation Office Agency","210","200","27170","25500"
"In post","2021","20-29","Heterosexual / straight","Vehicle Certification Agency","30","30","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Welsh Government (excl. agencies)","430","430","26920","23830"
"In post","2021","20-29","Heterosexual / straight","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Animal and Plant Health Agency","60","60","25700","24920"
"In post","2021","20-29","LGBO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Cabinet Office (excl. agencies)","190","190","37820","34550"
"In post","2021","20-29","LGBO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Crown Prosecution Service","60","60","26610","24590"
"In post","2021","20-29","LGBO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Defence Equipment and Support","100","100","25740","26070"
"In post","2021","20-29","LGBO","Defence Science and Technology Laboratory","70","70","28680","28650"
"In post","2021","20-29","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","230","220","40650","40050"
"In post","2021","20-29","LGBO","Department for Digital, Culture, Media and Sport","90","90","41580","34090"
"In post","2021","20-29","LGBO","Department for Education (excl. agencies)","110","110","35170","32940"
"In post","2021","20-29","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","100","100","35580","33120"
"In post","2021","20-29","LGBO","Department for International Trade","90","90","38840","38160"
"In post","2021","20-29","LGBO","Department for Transport (excl. agencies)","80","80","37630","34710"
"In post","2021","20-29","LGBO","Department for Work and Pensions (excl. agencies)","960","950","26140","27570"
"In post","2021","20-29","LGBO","Department of Health and Social Care (excl. agencies)","70","70","38660","32790"
"In post","2021","20-29","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","20-29","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","90","90","36820","34860"
"In post","2021","20-29","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Government Legal Department","40","40","[c]","[c]"
"In post","2021","20-29","LGBO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","HM Courts and Tribunals Service","130","130","21860","19930"
"In post","2021","20-29","LGBO","HM Land Registry","50","50","[c]","[c]"
"In post","2021","20-29","LGBO","HM Prison and Probation Service","720","720","26220","25340"
"In post","2021","20-29","LGBO","HM Revenue and Customs (excl. agencies)","510","500","27460","25560"
"In post","2021","20-29","LGBO","HM Treasury (excl. agencies)","80","80","40170","33210"
"In post","2021","20-29","LGBO","Home Office (incl. agencies)","270","260","29510","24890"
"In post","2021","20-29","LGBO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Ministry of Defence (excl. agencies)","210","210","30350","27850"
"In post","2021","20-29","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","80","80","38360","33210"
"In post","2021","20-29","LGBO","Ministry of Justice (excl. agencies)","90","90","33330","30850"
"In post","2021","20-29","LGBO","National Crime Agency","60","60","32350","32260"
"In post","2021","20-29","LGBO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Public Health England","110","110","28140","26880"
"In post","2021","20-29","LGBO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Scottish Government (excl. agencies)","130","130","31210","30650"
"In post","2021","20-29","LGBO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","United Kingdom Statistics Authority","90","90","30680","29540"
"In post","2021","20-29","LGBO","Valuation Office Agency","30","30","[c]","[c]"
"In post","2021","20-29","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Welsh Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","20-29","LGBO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Cabinet Office (excl. agencies)","130","130","37930","34550"
"In post","2021","20-29","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Crown Prosecution Service","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Defence Equipment and Support","120","120","28120","28120"
"In post","2021","20-29","Undeclared","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","130","41350","39650"
"In post","2021","20-29","Undeclared","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Education (excl. agencies)","60","60","37240","36500"
"In post","2021","20-29","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","34360","32560"
"In post","2021","20-29","Undeclared","Department for International Trade","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Work and Pensions (excl. agencies)","480","470","26470","27570"
"In post","2021","20-29","Undeclared","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","34670","34770"
"In post","2021","20-29","Undeclared","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
