"Status","Year","Parent_department","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","London","120","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","60","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","London","80","70","47320","40450"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","East of England","140","120","34870","30650"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","London","310","280","43310","36950"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","North West (England)","50","50","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","South East (England)","40","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","South West (England)","120","110","36370","28590"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","West Midlands (England)","40","30","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","ESTYN","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Department for International Development","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Department for International Development","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Department for International Development","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","FCDO Services","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","FCDO Services","South East (England)","60","50","38500","33030"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign and Commonwealth Office (excl. agencies)","London","40","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign and Commonwealth Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign and Commonwealth Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","London","70","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Wilton Park","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","East Midlands (England)","30","30","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","North West (England)","40","30","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","South West (England)","70","60","33280","31740"
"Leaver CS","2021","HM Land Registry","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","East Midlands (England)","360","320","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","East of England","370","310","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","London","600","530","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","North East (England)","660","520","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","North West (England)","490","390","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Northern Ireland","120","100","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Scotland","590","480","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","South East (England)","210","170","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","South West (England)","130","110","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Unknown","330","320","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Wales","530","440","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","West Midlands (England)","430","360","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","610","510","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","East Midlands (England)","50","40","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","London","40","30","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","South West (England)","50","40","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","West Midlands (England)","30","30","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Debt Management Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","HM Treasury (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","HM Treasury (excl. agencies)","London","80","70","[c]","[c]"
"Leaver CS","2021","HM Treasury","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","East of England","70","50","23980","24210"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","London","590","530","37520","30410"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","North East (England)","50","40","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","North West (England)","230","190","24630","24110"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","Northern Ireland","30","20","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","Scotland","50","50","25240","24110"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","South East (England)","110","90","26270","25990"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","Wales","40","30","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","West Midlands (England)","30","30","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","Yorkshire and The Humber","110","90","25930","24210"
"Leaver CS","2021","Ministry of Defence","Defence Electronics and Components Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Defence Equipment and Support","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Defence Equipment and Support","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Defence Equipment and Support","North East (England)","[c]","[c]","[c]","[c]"
