"Status","Year","Sexual_orientation","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Heterosexual / straight","Female","UK Hydrographic Office","190","180","35160","33290"
"In post","2022","Heterosexual / straight","Female","UK Space Agency","80","80","44100","40050"
"In post","2022","Heterosexual / straight","Female","UK Statistics Authority","2330","2040","33220","30710"
"In post","2022","Heterosexual / straight","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","Valuation Office Agency","1230","1120","34570","31000"
"In post","2022","Heterosexual / straight","Female","Vehicle Certification Agency","60","60","29300","26980"
"In post","2022","Heterosexual / straight","Female","Veterinary Medicines Directorate","80","70","36040","32560"
"In post","2022","Heterosexual / straight","Female","Water Services Regulation Authority","100","90","53860","45370"
"In post","2022","Heterosexual / straight","Female","Welsh Government (excl. agencies)","2930","2710","40760","38160"
"In post","2022","Heterosexual / straight","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","Wilton Park","60","50","35540","30700"
"In post","2022","Heterosexual / straight","Male","Accountant in Bankruptcy","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Advisory, Conciliation and Arbitration Service","280","260","36200","34500"
"In post","2022","Heterosexual / straight","Male","Animal and Plant Health Agency","800","780","31910","29180"
"In post","2022","Heterosexual / straight","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Cabinet Office (excl. agencies)","2050","2030","50750","49700"
"In post","2022","Heterosexual / straight","Male","Centre for Environment, Fisheries and Aquaculture Science","120","120","35700","30220"
"In post","2022","Heterosexual / straight","Male","Charity Commission","90","90","34300","29160"
"In post","2022","Heterosexual / straight","Male","Companies House","320","320","34320","31820"
"In post","2022","Heterosexual / straight","Male","Competition and Markets Authority","340","330","63380","59140"
"In post","2022","Heterosexual / straight","Male","Criminal Injuries Compensation Authority","80","70","27290","25120"
"In post","2022","Heterosexual / straight","Male","Crown Commercial Service","270","270","42250","38980"
"In post","2022","Heterosexual / straight","Male","Crown Office and Procurator Fiscal Service","550","540","37770","31540"
"In post","2022","Heterosexual / straight","Male","Crown Prosecution Service","1630","1590","44450","48080"
"In post","2022","Heterosexual / straight","Male","Defence Electronics and Components Agency","120","120","28850","26710"
"In post","2022","Heterosexual / straight","Male","Defence Equipment and Support","5580","5480","38090","36020"
"In post","2022","Heterosexual / straight","Male","Defence Science and Technology Laboratory","600","590","42460","40580"
"In post","2022","Heterosexual / straight","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","2210","2190","50110","53380"
"In post","2022","Heterosexual / straight","Male","Department for Digital, Culture, Media and Sport","660","660","48140","51730"
"In post","2022","Heterosexual / straight","Male","Department for Education (excl. agencies)","1780","1760","45400","42220"
"In post","2022","Heterosexual / straight","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","1990","1970","43720","39330"
"In post","2022","Heterosexual / straight","Male","Department for International Trade","900","890","48050","47000"
"In post","2022","Heterosexual / straight","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","1120","1110","46180","42690"
"In post","2022","Heterosexual / straight","Male","Department for Transport (excl. agencies)","1270","1250","51860","49570"
"In post","2022","Heterosexual / straight","Male","Department for Work and Pensions (excl. agencies)","21390","20610","29330","27570"
"In post","2022","Heterosexual / straight","Male","Department of Health and Social Care (excl. agencies)","760","740","49790","49530"
"In post","2022","Heterosexual / straight","Male","Disclosure Scotland","110","110","30830","23230"
"In post","2022","Heterosexual / straight","Male","Driver and Vehicle Licensing Agency","1650","1590","29730","26130"
"In post","2022","Heterosexual / straight","Male","Driver and Vehicle Standards Agency","2050","1960","30520","27930"
"In post","2022","Heterosexual / straight","Male","Education and Skills Funding Agency","570","570","42740","37100"
"In post","2022","Heterosexual / straight","Male","Education Scotland","50","50","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Estyn","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","FCDO Services","590","570","40180","37750"
"In post","2022","Heterosexual / straight","Male","Food Standards Agency","530","520","37630","32830"
"In post","2022","Heterosexual / straight","Male","Food Standards Scotland","90","80","36340","31540"
"In post","2022","Heterosexual / straight","Male","Foreign, Commonwealth and Development Office (excl. agencies)","2280","2260","50980","50840"
"In post","2022","Heterosexual / straight","Male","Forestry and Land Scotland","190","180","34990","31060"
"In post","2022","Heterosexual / straight","Male","Government Actuary's Department","100","90","70820","59900"
"In post","2022","Heterosexual / straight","Male","Government Internal Audit Agency","190","180","51350","49750"
"In post","2022","Heterosexual / straight","Male","Government Legal Department","580","560","52740","51250"
"In post","2022","Heterosexual / straight","Male","Government Property Agency","130","120","54610","54700"
"In post","2022","Heterosexual / straight","Male","Health and Safety Executive","940","920","48200","45870"
"In post","2022","Heterosexual / straight","Male","HM Courts and Tribunals Service","3140","3030","27920","23720"
"In post","2022","Heterosexual / straight","Male","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","HM Land Registry","1500","1420","33690","31740"
"In post","2022","Heterosexual / straight","Male","HM Prison and Probation Service","19850","19100","31370","30140"
"In post","2022","Heterosexual / straight","Male","HM Revenue and Customs (excl. agencies)","18200","17610","35810","33370"
"In post","2022","Heterosexual / straight","Male","HM Treasury (excl. agencies)","810","800","49340","52500"
"In post","2022","Heterosexual / straight","Male","Home Office","12730","12290","33160","28670"
"In post","2022","Heterosexual / straight","Male","Institute for Apprenticeships and Technical Education","70","70","52130","50470"
"In post","2022","Heterosexual / straight","Male","Intellectual Property Office","490","470","42480","41420"
"In post","2022","Heterosexual / straight","Male","Legal Aid Agency","350","340","32310","25670"
"In post","2022","Heterosexual / straight","Male","Maritime and Coastguard Agency","560","560","40790","36180"
"In post","2022","Heterosexual / straight","Male","Medicines and Healthcare Products Regulatory Agency","270","270","49030","43410"
"In post","2022","Heterosexual / straight","Male","Met Office","1010","980","40980","39650"
"In post","2022","Heterosexual / straight","Male","Ministry of Defence (excl. agencies)","15720","15440","33450","31470"
"In post","2022","Heterosexual / straight","Male","Ministry of Justice (excl. agencies)","1730","1700","45470","41750"
"In post","2022","Heterosexual / straight","Male","National Crime Agency","2320","2300","42890","40190"
"In post","2022","Heterosexual / straight","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","National Records of Scotland","90","80","37540","35360"
"In post","2022","Heterosexual / straight","Male","National Savings and Investments","70","70","53660","49270"
"In post","2022","Heterosexual / straight","Male","Northern Ireland Office","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Office for Standards in Education, Children's Services and Skills","460","450","53260","51360"
"In post","2022","Heterosexual / straight","Male","Office of Gas and Electricity Markets","360","350","41940","35000"
"In post","2022","Heterosexual / straight","Male","Office of Qualifications and Examinations Regulation","70","70","48830","46660"
"In post","2022","Heterosexual / straight","Male","Office of Rail and Road","120","120","54660","52870"
"In post","2022","Heterosexual / straight","Male","Office of the Public Guardian","430","410","24430","20970"
"In post","2022","Heterosexual / straight","Male","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Planning Inspectorate","290","270","47760","47660"
"In post","2022","Heterosexual / straight","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Registers of Scotland","340","340","34880","30840"
"In post","2022","Heterosexual / straight","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Rural Payments Agency","490","480","28100","25190"
"In post","2022","Heterosexual / straight","Male","Scottish Courts and Tribunals Service","150","150","32820","27080"
"In post","2022","Heterosexual / straight","Male","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Scottish Forestry","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Scottish Government (excl. agencies)","2380","2340","45680","40810"
"In post","2022","Heterosexual / straight","Male","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Scottish Prison Service","1070","990","35770","35000"
"In post","2022","Heterosexual / straight","Male","Scottish Public Pensions Agency","60","60","32370","25930"
"In post","2022","Heterosexual / straight","Male","Serious Fraud Office","180","180","48910","42270"
"In post","2022","Heterosexual / straight","Male","Social Security Scotland","570","560","32930","27940"
"In post","2022","Heterosexual / straight","Male","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Student Awards Agency for Scotland","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Submarine Delivery Agency","1080","1070","42760","40790"
"In post","2022","Heterosexual / straight","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","The Insolvency Service","380","370","36790","34940"
"In post","2022","Heterosexual / straight","Male","The National Archives","120","120","38450","34990"
"In post","2022","Heterosexual / straight","Male","Transport Scotland","180","180","50420","47490"
"In post","2022","Heterosexual / straight","Male","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","UK Export Finance","230","230","56090","51250"
"In post","2022","Heterosexual / straight","Male","UK Health Security Agency","1200","1140","44190","37190"
