"Status","Year","Responsibility_level","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","AA/AO","Black","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","No function","250","250","23240","22680"
"New entrant CS","2021","AA/AO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Black","Unknown","340","340","23310","24180"
"New entrant CS","2021","AA/AO","Chinese","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","No function","180","170","22570","22350"
"New entrant CS","2021","AA/AO","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Mixed","Unknown","240","240","22260","21010"
"New entrant CS","2021","AA/AO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","No function","30","30","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Other ethnicity","Unknown","50","50","21880","21010"
"New entrant CS","2021","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","No function","130","130","20720","19630"
"New entrant CS","2021","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Undeclared","Unknown","120","110","21530","21010"
"New entrant CS","2021","AA/AO","Unknown","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Debt","640","620","20290","20140"
"New entrant CS","2021","AA/AO","Unknown","Digital, Data & Technology","40","30","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Finance","40","30","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Human Resources","30","30","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Legal","140","140","20280","20120"
"New entrant CS","2021","AA/AO","Unknown","No function","4500","4350","21480","20600"
"New entrant CS","2021","AA/AO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","Property","100","100","21270","20880"
"New entrant CS","2021","AA/AO","Unknown","Security","230","230","25600","23540"
"New entrant CS","2021","AA/AO","Unknown","Unknown","1240","1210","21490","21010"
"New entrant CS","2021","AA/AO","White","Analysis","50","50","21830","21050"
"New entrant CS","2021","AA/AO","White","Commercial","50","50","[c]","[c]"
"New entrant CS","2021","AA/AO","White","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","White","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","White","Debt","230","230","20230","20140"
"New entrant CS","2021","AA/AO","White","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","AA/AO","White","Finance","50","50","20580","20860"
"New entrant CS","2021","AA/AO","White","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","White","Human Resources","150","140","20760","20920"
"New entrant CS","2021","AA/AO","White","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","White","Legal","190","190","20400","20120"
"New entrant CS","2021","AA/AO","White","No function","4550","4430","21730","20880"
"New entrant CS","2021","AA/AO","White","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","AA/AO","White","Property","150","150","20950","20880"
"New entrant CS","2021","AA/AO","White","Security","340","340","23820","20920"
"New entrant CS","2021","AA/AO","White","Unknown","4920","4840","21230","21010"
"New entrant CS","2021","EO","Asian","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Communications","30","30","[c]","[c]"
"New entrant CS","2021","EO","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2021","EO","Asian","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","No function","200","200","26550","26410"
"New entrant CS","2021","EO","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Asian","Unknown","1520","1490","29230","29290"
"New entrant CS","2021","EO","Black","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","No function","120","120","26390","26410"
"New entrant CS","2021","EO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Black","Unknown","1120","1100","29860","31060"
"New entrant CS","2021","EO","Chinese","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","No function","90","90","27430","26880"
"New entrant CS","2021","EO","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Mixed","Unknown","480","470","28890","27570"
"New entrant CS","2021","EO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Other ethnicity","Unknown","120","120","29430","30750"
"New entrant CS","2021","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","No function","80","80","26270","25840"
"New entrant CS","2021","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Unknown","220","210","28830","27570"
"New entrant CS","2021","EO","Unknown","Analysis","50","50","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Communications","440","430","25740","25560"
"New entrant CS","2021","EO","Unknown","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Digital, Data & Technology","140","130","26450","25560"
"New entrant CS","2021","EO","Unknown","Finance","40","40","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Human Resources","60","60","25430","26300"
"New entrant CS","2021","EO","Unknown","Legal","50","50","[c]","[c]"
"New entrant CS","2021","EO","Unknown","No function","840","820","25690","25560"
"New entrant CS","2021","EO","Unknown","Project Delivery","130","130","20040","16780"
"New entrant CS","2021","EO","Unknown","Property","40","40","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Security","40","40","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Unknown","2050","1990","27910","27570"
"New entrant CS","2021","EO","White","Analysis","110","110","26210","26050"
"New entrant CS","2021","EO","White","Commercial","60","60","25710","26350"
"New entrant CS","2021","EO","White","Communications","270","270","25580","25560"
"New entrant CS","2021","EO","White","Counter Fraud","50","50","[c]","[c]"
"New entrant CS","2021","EO","White","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","White","Digital, Data & Technology","180","180","26100","26130"
"New entrant CS","2021","EO","White","Finance","120","110","24500","25000"
"New entrant CS","2021","EO","White","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","White","Human Resources","120","110","25710","26130"
"New entrant CS","2021","EO","White","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","White","Legal","120","120","27230","26950"
"New entrant CS","2021","EO","White","No function","1860","1830","27030","26180"
"New entrant CS","2021","EO","White","Project Delivery","260","250","24480","26130"
"New entrant CS","2021","EO","White","Property","110","100","25640","26150"
"New entrant CS","2021","EO","White","Security","70","70","27880","26300"
"New entrant CS","2021","EO","White","Unknown","6980","6820","27990","27570"
"New entrant CS","2021","G6/G7","Asian","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Legal","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","No function","60","60","57200","53420"
"New entrant CS","2021","G6/G7","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Asian","Unknown","50","50","61110","58140"
"New entrant CS","2021","G6/G7","Black","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","No function","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","No function","40","30","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Analysis","60","60","57740","53360"
"New entrant CS","2021","G6/G7","Unknown","Commercial","70","70","77000","84000"
"New entrant CS","2021","G6/G7","Unknown","Communications","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Digital, Data & Technology","160","160","58670","56200"
"New entrant CS","2021","G6/G7","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Legal","80","80","54890","55000"
"New entrant CS","2021","G6/G7","Unknown","No function","320","310","56150","53380"
"New entrant CS","2021","G6/G7","Unknown","Project Delivery","60","60","56620","53500"
"New entrant CS","2021","G6/G7","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Unknown","360","340","59490","57430"
