"Status","Year","Region_ITL2","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Operational Delivery","200","180","26830","26230"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Other","150","140","23820","21130"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Property","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Science and Engineering","60","60","24880","22800"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Security","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Unknown","600","530","25540","27570"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Other","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Operational Delivery","130","110","25120","21050"
"In post","2021","Cumbria","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Operational Delivery","1090","980","25220","21110"
"In post","2021","Cumbria","Declared non-disabled","Other","60","60","22600","20980"
"In post","2021","Cumbria","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Project Delivery","80","80","41150","37310"
"In post","2021","Cumbria","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Science and Engineering","80","80","38300","36000"
"In post","2021","Cumbria","Declared non-disabled","Security","50","50","26200","23540"
"In post","2021","Cumbria","Declared non-disabled","Unknown","210","180","26870","27570"
"In post","2021","Cumbria","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Operational Delivery","60","50","27950","26520"
"In post","2021","Cumbria","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Human Resources","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Legal","30","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Operational Delivery","670","620","27610","25560"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Property","30","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Tax","100","100","33480","31810"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Unknown","480","420","26410","27570"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Commercial","50","50","46370","45870"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Communications","50","50","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Digital, Data and Technology","100","100","40520","36960"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Finance","110","100","37990","35430"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Human Resources","210","190","40870","38630"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Inspector of Education and Training","60","60","65390","64500"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Legal","230","210","41610","38630"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Operational Delivery","3560","3280","28200","25830"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Other","150","150","33750","25680"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Policy","180","170","42200","37860"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Project Delivery","140","130","43780","39220"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Property","200","190","39010","37750"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Psychology","80","80","34830","30450"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Science and Engineering","250","230","41900","39390"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Security","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Tax","670","630","36640","31810"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Unknown","1840","1640","26770","27570"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
