"Status","Year","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Education and Skills Funding Agency","Department for Education","Female","30","30","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","Department for Education","Male","40","40","[c]","[c]"
"Leaver CS","2022","Education Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","Foreign, Commonwealth and Development Office","Male","50","40","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","Male","60","50","34730","30320"
"Leaver CS","2022","Food Standards Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","150","50","51090","51960"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","190","80","47750","41740"
"Leaver CS","2022","Forestry and Land Scotland","Scottish Government","Female","40","40","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","Scottish Government","Male","80","70","30070","27360"
"Leaver CS","2022","Government Actuary's Department","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","Attorney General's Departments","Female","120","110","52740","51250"
"Leaver CS","2022","Government Legal Department","Attorney General's Departments","Male","80","70","51440","51250"
"Leaver CS","2022","Government Property Agency","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","Department for Work and Pensions","Female","110","90","35890","31660"
"Leaver CS","2022","Health and Safety Executive","Department for Work and Pensions","Male","100","90","45270","44220"
"Leaver CS","2022","HM Courts and Tribunals Service","Ministry of Justice","Female","1360","1180","23500","20970"
"Leaver CS","2022","HM Courts and Tribunals Service","Ministry of Justice","Male","690","640","24880","21010"
"Leaver CS","2022","HM Land Registry","HM Land Registry","Female","230","190","31680","27130"
"Leaver CS","2022","HM Land Registry","HM Land Registry","Male","180","160","34600","33840"
"Leaver CS","2022","HM Prison and Probation Service","Ministry of Justice","Female","3570","3240","30510","26720"
"Leaver CS","2022","HM Prison and Probation Service","Ministry of Justice","Male","3620","3400","34170","31650"
"Leaver CS","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","2620","2100","30290","26820"
"Leaver CS","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","2080","1860","36410","33370"
"Leaver CS","2022","HM Treasury (excl. agencies)","HM Treasury","Female","90","80","[c]","[c]"
"Leaver CS","2022","HM Treasury (excl. agencies)","HM Treasury","Male","100","100","[c]","[c]"
"Leaver CS","2022","Home Office","Home Office","Female","1030","870","30600","25630"
"Leaver CS","2022","Home Office","Home Office","Male","1060","930","33210","27910"
"Leaver CS","2022","Institute for Apprenticeships and Technical Education","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Institute for Apprenticeships and Technical Education","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","40","40","[c]","[c]"
"Leaver CS","2022","Legal Aid Agency","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal Aid Agency","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Maritime and Coastguard Agency","Department for Transport","Female","70","60","28930","26470"
"Leaver CS","2022","Maritime and Coastguard Agency","Department for Transport","Male","90","90","39420","34090"
"Leaver CS","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","160","150","43540","33190"
"Leaver CS","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","110","100","53980","53100"
"Leaver CS","2022","Met Office","Department for Business, Energy and Industrial Strategy","Female","40","40","[c]","[c]"
"Leaver CS","2022","Met Office","Department for Business, Energy and Industrial Strategy","Male","90","90","36400","36510"
"Leaver CS","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","1360","1240","29620","26350"
"Leaver CS","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","2020","1940","32710","29250"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","240","230","40580","34260"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","180","180","43730","41750"
"Leaver CS","2022","National Crime Agency","National Crime Agency","Female","120","110","39450","34140"
"Leaver CS","2022","National Crime Agency","National Crime Agency","Male","200","200","44200","41170"
"Leaver CS","2022","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Female","130","130","50600","51360"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","50","50","58370","62220"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","110","110","41580","35980"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","130","120","49330","41410"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","Female","30","30","[c]","[c]"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","Male","30","30","[c]","[c]"
"Leaver CS","2022","Office of the Scottish Charity Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Scottish Charity Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","40","40","[c]","[c]"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","Female","1160","1040","42710","38200"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","Male","360","340","45250","38200"
"Leaver CS","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Revenue Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Revenue Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Royal Fleet Auxiliary","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Royal Fleet Auxiliary","Ministry of Defence","Male","210","210","36610","33570"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","90","80","25860","21300"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","80","80","24800","21300"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","Female","100","90","26300","23780"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","Male","60","50","33620","27120"
"Leaver CS","2022","Scottish Forestry","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Forestry","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","Female","190","180","41030","36130"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","Male","220","210","42220","36130"
"Leaver CS","2022","Scottish Housing Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Housing Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","Female","100","90","31220","26900"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","Male","250","220","32670","35000"
"Leaver CS","2022","Scottish Public Pensions Agency","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Public Pensions Agency","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Security Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Security Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Standards and Testing Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Standards and Testing Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Student Awards Agency for Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
